it	prior	PP_lik	BD_lik	q_0	q_1	q_2	root_age	death_age	w_shape	w_scale_0	mean_longevity_0	tot_length	
657	-13.080857	-5902.124282	-1192.704743	1.825345	1.025610	0.009702	24.483983	0.053036	0.702500	1.696368	2.140040	1678.610453
658	-12.886097	-5924.512153	-1191.774628	1.747137	0.875232	0.010200	23.993412	0.017061	0.732027	1.806684	2.195693	1688.133519
659	-12.860555	-5922.676231	-1190.986597	1.810529	0.941534	0.013861	24.669297	0.024082	0.712962	1.892827	2.355210	1687.870734
660	-12.580901	-5937.152672	-1199.980501	1.824309	0.833309	0.023434	25.040613	0.005791	0.758991	2.048503	2.415498	1699.498052
661	-12.905407	-5966.003102	-1199.397845	1.788971	0.885054	0.011618	24.887215	0.002450	0.747546	1.939888	2.315973	1708.721975
662	-12.499762	-6004.043970	-1197.739742	1.767066	0.858734	0.025440	24.847467	0.223229	0.785698	2.095597	2.405796	1720.113178
663	-12.350229	-5986.380505	-1198.575700	1.799278	0.801143	0.034136	24.910450	0.228646	0.747856	1.765814	2.107428	1703.375738
664	-13.406501	-5954.868977	-1184.104179	1.769382	0.795154	0.003391	23.979031	0.176075	0.773155	1.889734	2.196089	1692.505142
665	-13.950843	-5966.784921	-1191.842981	1.855419	0.953088	0.001720	24.971193	0.051867	0.763288	2.065456	2.424540	1699.890286
666	-13.461894	-6016.566202	-1206.224711	1.797647	0.711417	0.003034	24.243075	0.195183	0.764958	1.915568	2.244708	1733.508858
667	-12.749256	-6015.527674	-1212.914848	1.669037	0.680081	0.010695	24.701643	0.055766	0.773143	2.037066	2.367334	1733.943456
668	-12.963815	-6053.631685	-1193.299711	1.777502	0.823690	0.009306	24.417737	0.060825	0.866647	2.307068	2.480432	1742.167462
669	-12.404270	-5978.919122	-1194.095282	1.785807	0.746649	0.025919	24.022861	0.122185	0.765503	1.796368	2.103843	1717.172274
670	-12.983290	-5996.588612	-1191.141135	1.813295	0.884149	0.009835	24.475423	0.021994	0.848943	1.983119	2.159224	1715.876394
671	-13.261061	-5973.379478	-1199.616805	1.803423	0.911535	0.006026	24.918937	0.056445	0.788626	2.126088	2.434076	1706.586944
672	-13.551063	-5970.884668	-1194.281284	1.768665	0.871313	0.002835	24.377786	0.030028	0.705289	1.754965	2.205709	1711.660224
673	-13.482759	-5969.390798	-1196.699107	1.821907	0.758279	0.003129	24.099718	0.005895	0.784151	2.003857	2.303863	1718.091270
674	-13.756833	-6007.386198	-1201.558815	1.786943	0.892415	0.001900	24.007333	0.048587	0.721176	1.718627	2.116360	1729.838041
675	-13.273684	-5952.522926	-1195.276078	1.824360	0.742490	0.004749	24.088031	0.072512	0.787316	2.069350	2.372036	1702.674424
676	-12.741083	-5966.229596	-1195.539997	1.778701	0.743080	0.012629	24.058500	0.105571	0.696364	1.555012	1.978225	1713.015934
677	-12.963500	-5976.714802	-1205.441980	1.765901	0.780955	0.008272	24.118925	0.067365	0.680666	1.675019	2.179400	1730.513708
678	-13.172994	-6031.994937	-1206.552711	1.762096	0.742205	0.005076	23.893387	0.021766	0.780721	1.896883	2.188073	1751.496699
679	-13.173054	-5991.581620	-1194.929415	1.791303	0.748719	0.005881	24.875426	0.079670	0.856959	2.060438	2.230385	1729.497871
680	-13.002673	-6040.509164	-1189.737723	1.737747	0.764390	0.007601	24.494017	0.156270	0.872014	2.248675	2.408818	1742.485710
681	-12.790079	-6023.602696	-1194.901179	1.820614	0.964139	0.018957	25.962272	0.056263	0.812702	2.130280	2.387021	1725.623224
682	-13.098994	-6060.952200	-1192.793815	1.734515	0.955013	0.008058	24.985963	0.007623	0.868753	2.385361	2.560904	1751.676105
683	-12.499577	-5951.379115	-1198.303509	1.847567	0.924869	0.028175	23.905408	0.166372	0.703703	1.632904	2.056652	1703.001982
684	-12.077136	-5963.864895	-1191.685336	1.806949	0.779085	0.062854	24.907845	0.074059	0.764850	1.902775	2.229963	1702.093478
685	-12.278247	-5926.176345	-1190.719782	1.782656	0.900348	0.040432	23.913363	0.028926	0.636606	1.694195	2.370054	1683.410186
686	-12.084791	-5984.532607	-1200.916116	1.750688	0.698432	0.046495	24.015367	0.020540	0.750852	1.737107	2.066336	1719.236735
687	-12.978500	-5962.840380	-1203.341657	1.753247	0.747680	0.007658	24.222628	0.112385	0.727387	1.760685	2.151712	1720.605895
688	-13.145325	-5927.754009	-1205.374481	1.841305	0.916200	0.007410	24.080576	0.013458	0.653669	1.524411	2.069860	1701.047284
689	-13.630811	-5981.980272	-1211.772856	1.766396	0.872084	0.002360	24.095258	0.118559	0.740498	1.889992	2.274394	1727.149535
690	-13.397851	-5927.039843	-1196.844417	1.893289	0.756742	0.004100	23.995292	0.231563	0.741473	1.821993	2.190127	1696.607574
691	-12.808575	-5979.917519	-1196.294641	1.853385	0.784805	0.014711	25.326872	0.020290	0.755034	1.864051	2.207300	1718.464950
692	-12.752125	-5952.278465	-1193.745242	1.792430	0.788797	0.015783	25.809106	0.032383	0.791381	2.030434	2.318607	1703.976140
693	-13.757009	-5938.332649	-1206.257982	1.799364	0.829217	0.002041	25.178422	0.049784	0.724455	1.895634	2.324910	1717.670562
694	-12.883910	-6000.921607	-1206.948258	1.759912	0.712572	0.010005	25.181534	0.018037	0.748201	1.897039	2.263173	1743.575303
695	-12.580036	-6122.265503	-1216.571339	1.684735	0.763232	0.017354	24.971430	0.004050	0.807154	2.223808	2.503735	1790.900982
696	-12.221286	-6103.169116	-1216.230777	1.797784	0.848060	0.046693	24.423565	0.204985	0.834371	2.165019	2.383488	1780.823129
697	-12.083868	-6045.684552	-1200.499234	1.764199	0.653437	0.050746	24.798750	0.017632	0.802643	2.026317	2.290431	1752.566515
698	-12.757595	-6050.610539	-1206.686620	1.790489	0.681212	0.012472	24.443372	0.014575	0.828389	2.025288	2.240216	1763.982713
699	-13.325587	-6041.652231	-1207.691143	1.744380	0.705873	0.003595	24.066424	0.061682	0.799749	1.999103	2.265500	1744.450988
700	-12.955947	-5991.324773	-1194.515208	1.813183	0.695049	0.008590	24.198577	0.183651	0.755619	1.977226	2.339845	1713.118019
701	-12.505959	-5976.821740	-1191.707348	1.780154	0.787058	0.022206	24.124182	0.077190	0.796028	2.066824	2.350121	1704.530077
702	-12.630166	-6022.110729	-1190.130804	1.829059	0.870888	0.020155	23.762944	0.036623	0.890007	2.370385	2.509555	1722.646190
703	-12.835579	-5991.237346	-1203.397103	1.791087	0.904852	0.013333	23.829692	0.011268	0.910095	2.654020	2.775760	1714.956385
704	-12.923023	-5995.034296	-1192.663764	1.793895	0.756557	0.009688	24.505999	0.009425	0.745347	2.023144	2.421303	1709.620081
705	-13.808092	-5989.202149	-1191.880704	1.797298	1.005010	0.002170	24.873368	0.037359	0.833850	2.058019	2.266614	1700.397890
706	-13.409065	-5994.814031	-1196.497608	1.812989	0.816240	0.004081	24.845826	0.286435	0.833759	2.184473	2.406055	1705.795447
707	-12.928744	-5975.286404	-1195.022367	1.781280	0.944608	0.010515	23.418134	0.057103	0.873042	2.319786	2.483272	1708.718656
708	-12.524756	-5885.905966	-1186.209146	1.845950	0.978697	0.028940	24.001765	0.180344	0.668747	1.611285	2.134943	1655.840874
709	-12.269058	-5927.330457	-1187.318557	1.858791	0.893091	0.052211	25.154237	0.039330	0.776817	1.927236	2.231564	1674.555452
710	-12.741733	-6005.495326	-1195.970006	1.816575	0.925928	0.017946	24.873776	0.129918	0.766439	2.020685	2.364279	1712.076668
711	-12.617592	-6026.203231	-1205.191373	1.816156	0.905417	0.021807	24.108179	0.000311	0.798146	2.326366	2.640173	1738.833463
712	-11.935809	-5940.312959	-1197.399132	1.790157	0.817768	0.083939	24.397349	0.118589	0.675702	1.612918	2.114298	1693.730695
713	-12.089587	-5936.193403	-1192.554770	1.794068	0.818169	0.056899	24.211165	0.042317	0.695180	1.515098	1.930616	1693.058446
714	-12.529066	-5892.402377	-1188.799953	1.765017	0.729432	0.019612	24.383167	0.139152	0.681274	1.587737	2.063972	1674.721896
715	-12.806769	-5921.790492	-1190.388762	1.807060	0.813628	0.012351	23.956821	0.150979	0.703294	1.676945	2.113281	1682.229090
716	-12.714123	-6011.400395	-1194.796032	1.779417	0.917062	0.017630	24.801822	0.009877	0.789820	2.104670	2.406871	1713.043111
717	-12.452023	-6011.315091	-1187.629858	1.796054	0.926558	0.030828	24.757673	0.019593	0.751381	1.739204	2.067634	1704.251337
718	-12.966407	-5978.688715	-1192.655771	1.815028	0.961788	0.010597	24.047810	0.053166	0.764725	1.716441	2.011848	1698.039844
719	-12.483400	-5976.231212	-1195.315509	1.781573	0.768397	0.022199	24.087734	0.175990	0.689815	1.504618	1.931805	1700.998738
720	-12.277494	-5974.985685	-1195.551366	1.785876	0.876032	0.037673	23.463618	0.303198	0.717878	1.890224	2.337294	1692.802948
721	-12.453306	-5935.929297	-1177.996906	1.739971	1.001270	0.028605	23.935442	0.061118	0.733048	1.798944	2.183646	1667.594013
722	-12.980704	-5919.779727	-1179.750738	1.797656	1.021697	0.011164	24.434068	0.084751	0.725715	1.660773	2.033733	1660.191312
723	-12.012503	-5933.394709	-1184.406147	1.837559	0.865362	0.080983	24.339959	0.269844	0.748134	1.851224	2.208680	1662.128631
724	-12.478286	-5884.257981	-1181.858109	1.914871	0.964672	0.036806	24.468415	0.040844	0.771714	1.790945	2.084289	1648.201324
725	-12.847966	-5929.131963	-1203.300445	1.818369	0.958742	0.015615	25.448204	0.128952	0.762538	1.893365	2.224266	1684.483415
726	-13.086997	-5870.918174	-1201.546761	1.829659	0.821867	0.007557	24.288703	0.240775	0.683394	1.680572	2.177837	1680.954424
727	-12.562333	-5976.118757	-1205.698427	1.757418	0.747083	0.019278	24.610997	0.076941	0.772874	2.114045	2.457454	1720.752878
728	-12.507643	-5964.197174	-1182.604907	1.829822	0.871973	0.026935	24.283408	0.014559	0.796517	2.126010	2.416346	1700.442145
729	-12.154824	-5962.892796	-1195.802081	1.795696	0.733639	0.045779	24.215196	0.082909	0.822273	1.932868	2.148591	1702.020674
730	-12.730633	-5951.597770	-1196.697894	1.779473	0.752210	0.013609	24.348450	0.111169	0.764657	1.933167	2.266034	1705.315863
731	-13.676283	-5956.712348	-1200.841160	1.740894	0.854832	0.002083	24.598522	0.022089	0.771916	1.762754	2.051064	1705.086119
732	-14.424455	-5990.821769	-1200.857536	1.764971	1.001018	0.000588	24.909029	0.029671	0.699244	1.635005	2.071764	1717.173039
733	-14.190005	-5998.528644	-1197.427425	1.796040	0.809223	0.000926	25.979468	0.035033	0.831233	2.372483	2.618332	1712.112059
734	-13.462074	-5955.961739	-1191.417622	1.778174	0.888055	0.003682	24.910312	0.127782	0.784509	1.947303	2.238081	1692.911165
735	-13.126468	-6001.035648	-1195.247629	1.710521	0.722414	0.005103	23.987361	0.002603	0.774839	1.931971	2.241417	1714.369926
736	-12.942585	-6003.766398	-1201.313280	1.809313	0.871761	0.010937	24.898266	0.056929	0.775438	1.941682	2.251348	1724.426078
737	-12.963302	-5941.303093	-1197.216157	1.891174	0.854081	0.011506	24.509522	0.039417	0.780895	2.022823	2.332952	1702.142206
738	-12.715745	-5960.522281	-1197.862825	1.820441	0.932645	0.018052	24.232407	0.134431	0.837193	2.071688	2.275748	1703.104877
739	-12.886239	-5935.003404	-1190.378946	1.793863	0.865098	0.011154	24.221447	0.097577	0.704468	1.757851	2.211757	1689.609820
740	-12.118784	-5985.602924	-1190.212766	1.808018	0.794324	0.059309	25.118479	0.098438	0.813074	1.965764	2.201982	1708.420111
741	-12.499647	-5986.358019	-1196.858503	1.773113	0.769361	0.021702	24.132426	0.016918	0.723087	1.855211	2.279158	1719.228017
742	-12.722454	-5989.525520	-1198.708658	1.795157	0.896967	0.015670	23.905285	0.003309	0.689774	1.636032	2.100652	1709.892528
743	-12.671317	-5977.556413	-1181.811150	1.779411	0.939070	0.018599	24.060391	0.041075	0.866998	2.237364	2.404909	1697.466393
744	-12.347167	-5953.048717	-1195.792588	1.837931	0.992169	0.041860	23.938925	0.016975	0.728588	1.658834	2.024304	1693.707668
745	-12.331043	-5959.531520	-1186.138431	1.741322	0.854282	0.032841	24.494487	0.022596	0.686454	1.641240	2.117409	1678.445466
746	-12.740445	-5912.530886	-1195.156376	1.803816	0.873845	0.016245	24.875351	0.120006	0.659586	1.470263	1.976860	1676.929647
747	-12.457805	-5915.455819	-1194.240685	1.834118	1.047149	0.037913	24.691368	0.037491	0.705220	1.651485	2.075843	1681.058088
748	-12.484091	-5997.731915	-1195.150417	1.806798	0.994481	0.032039	24.394391	0.233750	0.791215	2.170142	2.478526	1708.099367
749	-12.701903	-5886.347835	-1190.226420	1.817049	0.926569	0.019194	24.821594	0.173007	0.706653	1.758995	2.206777	1666.483088
750	-13.282938	-5879.364844	-1180.948430	1.928763	0.961120	0.007454	25.107412	0.002943	0.654849	1.452399	1.968187	1654.912179
751	-13.034128	-5932.429909	-1197.928991	1.789494	0.966128	0.008972	24.109858	0.067947	0.748180	1.729273	2.063077	1691.866175
752	-13.469954	-5934.888482	-1190.976895	1.812881	0.870244	0.003447	23.838213	0.113362	0.786191	2.001868	2.297121	1684.688858
753	-13.133887	-5950.811324	-1196.561865	1.860131	0.898324	0.007365	23.556566	0.036484	0.733110	1.847547	2.242481	1714.703139
754	-12.714518	-5982.250332	-1201.518047	1.717046	0.764084	0.013401	24.755267	0.038020	0.799599	2.074913	2.351726	1730.150445
755	-13.595153	-5933.669846	-1186.396315	1.837831	0.655604	0.002558	25.148459	0.007113	0.811548	1.916487	2.149576	1690.260992
756	-13.755947	-5922.058646	-1183.631713	1.843263	0.744280	0.001821	24.019236	0.026414	0.753409	1.864610	2.211838	1682.254767
757	-14.066974	-5964.649721	-1197.428428	1.777323	0.892936	0.000987	23.829474	0.024474	0.768833	1.807063	2.109172	1704.508731
758	-12.574804	-6006.330106	-1177.794610	1.814385	0.929717	0.023913	24.179295	0.070490	0.871398	2.142656	2.296204	1700.589509
759	-13.013460	-5981.467118	-1196.586198	1.792111	0.911861	0.009256	24.355380	0.012190	0.805304	2.091751	2.358860	1719.238257
760	-12.596132	-5964.067972	-1191.755584	1.762985	0.943361	0.021138	24.226419	0.010398	0.732431	1.848602	2.245563	1711.035821
761	-12.852043	-5965.886870	-1182.457037	1.779672	0.753637	0.010357	24.143588	0.057447	0.764151	1.860318	2.181784	1699.832992
762	-13.268941	-6007.410093	-1194.184847	1.786112	0.757550	0.004409	23.781348	0.010140	0.867189	2.096859	2.253586	1730.101988
763	-12.343588	-6020.604772	-1194.048710	1.807876	0.714816	0.030967	24.241563	0.028003	0.759257	1.962975	2.313998	1720.666284
764	-12.703880	-5982.109601	-1193.676421	1.776038	0.828454	0.015980	24.574354	0.256847	0.787049	2.133979	2.446735	1703.200665
765	-12.600176	-5979.431876	-1186.056469	1.814603	0.850791	0.020641	24.209591	0.156900	0.842681	2.048202	2.240538	1684.812359
766	-12.405091	-5950.179888	-1194.801443	1.756410	0.873693	0.027829	23.925814	0.107647	0.740391	1.773088	2.133973	1686.558068
767	-12.438758	-5907.576967	-1186.471246	1.761690	0.898849	0.026850	23.867510	0.063117	0.743980	1.816876	2.177782	1666.257762
768	-12.267100	-5953.772184	-1187.850414	1.795732	0.973303	0.044602	23.741804	0.067261	0.688176	1.613338	2.076253	1683.004431
769	-12.584455	-6014.463487	-1193.240263	1.757609	0.983920	0.021912	23.939399	0.020445	0.784137	1.922456	2.210305	1713.285124
770	-13.095001	-5932.486459	-1187.808215	1.817218	0.929297	0.008606	24.949318	0.030674	0.739875	1.763440	2.123618	1684.131285
771	-12.568635	-5939.962253	-1184.556937	1.755973	0.845037	0.019418	24.046747	0.012432	0.800693	1.944635	2.201914	1674.391512
772	-12.359137	-6005.691989	-1186.171132	1.752802	1.107673	0.041441	23.797971	0.108275	0.762745	1.988131	2.335091	1704.727608
773	-12.343489	-5968.314865	-1192.899141	1.789227	0.862716	0.035093	24.334746	0.018422	0.737880	1.931137	2.330914	1705.950395
774	-12.464948	-5988.373846	-1205.139577	1.735516	0.745219	0.022462	24.753500	0.123679	0.654804	1.528171	2.071022	1713.230246
775	-12.346581	-6024.128154	-1209.494072	1.785471	0.816579	0.036074	24.854367	0.069360	0.868806	2.459605	2.640517	1737.146309
776	-12.264111	-5956.199473	-1186.152049	1.808174	1.014234	0.046523	24.389109	0.168506	0.787731	1.881331	2.155675	1656.374977
777	-12.448132	-5969.184968	-1189.302803	1.841104	1.057907	0.037910	25.066285	0.067278	0.747917	1.965361	2.345420	1655.590958
778	-12.900220	-5995.838895	-1181.767990	1.786285	0.945950	0.010995	24.578153	0.196021	0.752932	1.902212	2.257610	1668.723248
779	-12.483156	-5962.347494	-1190.443050	1.869661	0.866131	0.024939	23.661415	0.005389	0.693871	1.549823	1.978477	1666.468465
780	-12.072807	-5971.275850	-1183.483573	1.818798	0.914090	0.063696	24.363740	0.058141	0.757492	1.768377	2.088508	1667.869753
781	-12.243671	-5958.833118	-1191.783269	1.818740	1.042429	0.052931	24.570125	0.021310	0.650997	1.577206	2.151236	1663.481624
782	-12.634740	-5933.251822	-1182.411038	1.830884	1.069309	0.022738	23.918607	0.045588	0.820871	2.058409	2.290778	1645.231073
783	-13.159231	-5920.317755	-1175.004680	1.878679	0.863980	0.006291	23.855039	0.364961	0.745867	1.522853	1.821493	1636.710484
784	-13.610076	-6001.946007	-1189.145705	1.808343	0.948993	0.002980	25.626609	0.032906	0.753160	1.910169	2.266491	1693.430060
785	-13.567857	-5972.280844	-1190.590388	1.872788	0.963508	0.003544	25.183930	0.009771	0.802299	2.019901	2.283873	1677.799307
786	-13.026035	-6021.641386	-1203.699291	1.787953	0.779526	0.007721	25.456409	0.099820	0.753917	1.891213	2.242162	1713.739559
787	-13.436869	-5944.075596	-1197.554564	1.865502	0.872214	0.003589	23.798521	0.027740	0.673159	1.531947	2.015971	1671.318807
788	-12.810792	-5991.801694	-1191.658429	1.879632	0.740466	0.011430	23.646919	0.143569	0.782763	1.881342	2.165880	1684.150476
789	-12.732533	-5981.134716	-1189.639956	1.815122	0.783384	0.013920	24.843320	0.104611	0.761463	1.840067	2.164082	1682.152008
790	-12.220173	-6041.951430	-1200.268598	1.790737	0.946353	0.044449	23.829441	0.051889	0.808555	2.191807	2.464711	1709.420553
791	-11.937426	-6022.335978	-1203.242682	1.757708	0.854068	0.068341	23.658058	0.080873	0.794627	1.996342	2.272879	1703.532577
792	-12.218699	-5980.782384	-1201.711471	1.766523	0.898342	0.046536	25.693409	0.069750	0.706392	1.672222	2.098641	1685.958251
793	-12.518636	-5960.689423	-1191.785420	1.864722	0.910267	0.026083	24.496019	0.131284	0.696368	1.577936	2.007375	1670.726426
794	-12.312189	-5936.367454	-1196.257804	1.836968	0.942861	0.039085	23.889781	0.032399	0.744243	1.992477	2.387559	1668.187127
795	-12.476511	-5978.954067	-1197.439384	1.854780	0.811034	0.024977	24.376111	0.178529	0.826943	1.912273	2.117661	1699.112170
796	-12.134244	-6033.625706	-1207.306659	1.793234	0.877357	0.049682	24.063080	0.035405	0.685952	1.734225	2.239001	1722.659202
797	-12.196037	-6011.570161	-1202.577977	1.792953	0.834952	0.040638	23.966179	0.091314	0.804427	1.941667	2.191297	1709.968111
798	-12.158781	-5997.656429	-1200.823379	1.848442	0.946030	0.056110	23.909035	0.066341	0.717910	1.860950	2.301003	1697.539088
799	-12.403019	-6016.840288	-1193.767675	1.778698	0.979806	0.030460	23.931640	0.079690	0.825082	2.122451	2.353944	1693.676320
800	-12.397215	-5975.157901	-1190.573080	1.811373	0.874527	0.027429	23.622392	0.014226	0.677447	1.610218	2.105196	1674.315743
801	-12.542315	-5961.370147	-1196.889252	1.907286	0.939236	0.028851	24.755351	0.003478	0.705390	1.802943	2.265707	1681.499996
802	-12.511783	-6004.223472	-1187.021521	1.822468	1.031516	0.033806	25.910133	0.082950	0.800108	2.164200	2.451808	1690.918220
803	-12.566070	-5993.389749	-1194.584485	1.938430	0.874449	0.025011	24.160756	0.005496	0.754281	1.737183	2.058739	1691.970439
804	-12.477592	-5969.976393	-1194.542025	1.886513	0.852518	0.028714	24.613622	0.017251	0.771241	2.020266	2.352289	1692.536219
805	-12.872863	-5990.152185	-1194.161138	1.819823	0.949441	0.012750	24.875670	0.128491	0.754189	1.950594	2.311884	1689.793050
806	-12.510566	-5974.209900	-1188.011084	1.884716	0.825398	0.024229	23.941637	0.006716	0.764146	1.956450	2.294539	1677.429440
807	-12.288345	-5961.580792	-1194.530926	1.835196	0.984890	0.052529	26.133274	0.240934	0.743123	1.741176	2.089064	1680.774123
808	-12.231287	-5992.877824	-1205.553484	1.817431	0.744580	0.040701	25.251013	0.088154	0.770285	1.928457	2.247556	1690.511310
809	-12.486406	-5938.768482	-1191.194702	1.884992	0.960744	0.033997	25.572124	0.034444	0.732846	1.669782	2.027346	1662.505574
810	-12.514245	-5942.789011	-1180.884683	1.808382	1.070183	0.028190	24.143761	0.251359	0.767554	1.747901	2.042780	1645.566294
811	-12.573548	-5937.070774	-1186.248891	1.814301	0.978019	0.021778	23.821278	0.085758	0.839215	1.918545	2.104245	1645.867785
812	-12.796029	-5968.603093	-1198.678656	1.786519	0.944869	0.013090	24.410736	0.012673	0.777161	1.689230	1.955312	1678.497380
813	-13.204858	-5955.686633	-1186.419721	1.815835	0.948892	0.006006	24.177450	0.178190	0.779117	1.935081	2.235610	1664.261227
814	-13.474397	-5928.478652	-1182.544903	1.874633	0.913095	0.003599	24.103058	0.138636	0.730336	1.620217	1.973042	1652.964952
815	-12.957547	-5928.263257	-1186.759062	1.856984	0.941377	0.009997	23.626741	0.208820	0.741342	1.803096	2.167736	1656.729185
816	-12.871473	-5962.873104	-1190.871151	1.846379	1.030870	0.013388	24.117795	0.003651	0.769367	1.640870	1.914158	1667.952414
817	-12.667797	-6024.897417	-1187.060555	1.834447	0.842298	0.017251	24.686374	0.010115	0.811628	1.946904	2.183543	1697.807235
818	-12.869669	-5909.492249	-1195.191143	1.868323	0.999306	0.013851	24.357583	0.044611	0.700133	1.585108	2.006104	1652.580366
819	-12.489208	-5953.451502	-1177.170142	1.838568	1.090290	0.036183	25.409581	0.233666	0.843528	1.820709	1.990410	1645.822683
820	-13.413692	-5888.345700	-1184.701857	1.825802	0.873048	0.004078	25.436473	0.252768	0.639388	1.398716	1.946885	1630.465151
821	-13.543679	-5931.282802	-1191.274553	1.777843	0.887077	0.002784	24.789641	0.167200	0.711132	1.715958	2.140190	1651.780652
822	-13.647699	-5910.335099	-1182.906712	1.857944	1.223037	0.003569	23.810844	0.045172	0.783611	1.762400	2.027302	1641.390853
823	-13.668948	-5974.688297	-1187.543605	1.838783	0.928167	0.002381	24.153125	0.077233	0.733583	1.831003	2.221161	1670.254908
824	-13.013203	-5934.608219	-1183.037359	1.847391	0.926818	0.008853	23.923849	0.011271	0.764019	1.837030	2.154766	1658.722035
825	-13.479508	-5914.461773	-1178.340402	1.846799	0.855899	0.003293	24.401022	0.133416	0.800048	1.808828	2.049319	1644.583395
826	-13.461809	-5953.115906	-1186.915200	1.785965	0.984267	0.003542	24.121565	0.006352	0.742671	1.907063	2.289268	1662.693277
827	-13.672983	-5944.022184	-1185.918841	1.909590	1.119601	0.003466	24.635414	0.074577	0.749221	1.722683	2.052854	1656.923609
828	-13.815949	-5992.224478	-1202.691091	1.793643	0.866024	0.001594	24.479428	0.103950	0.757535	1.963560	2.318919	1686.683876
829	-14.070330	-5933.975230	-1193.201702	1.823103	1.022876	0.001217	24.801434	0.061655	0.633363	1.342592	1.889385	1669.986272
830	-13.514306	-5943.329075	-1183.291024	1.826693	0.961961	0.003237	23.986514	0.111344	0.678659	1.564242	2.041365	1655.520817
831	-12.444380	-5936.836147	-1193.574949	1.820805	0.953599	0.029834	24.444992	0.007886	0.619851	1.264086	1.825372	1660.719307
832	-12.250574	-5979.381169	-1184.432530	1.845306	0.943706	0.047284	24.578247	0.354223	0.732693	1.684835	2.045993	1666.977557
833	-12.476785	-5965.036402	-1190.658806	1.764204	1.080874	0.032416	25.230454	0.032986	0.775951	1.975342	2.289215	1664.496212
834	-12.354428	-5931.368802	-1175.665038	1.831477	1.019149	0.041242	24.717308	0.138826	0.742537	1.779980	2.137039	1642.930009
835	-12.343994	-5973.846074	-1185.639834	1.873784	0.844750	0.036243	24.567398	0.064443	0.800113	1.884264	2.134660	1669.161267
836	-12.596758	-5930.243909	-1177.990486	1.828752	0.871207	0.019055	23.981419	0.124913	0.736818	1.750587	2.115589	1643.511445
837	-12.307371	-5927.729125	-1184.463242	1.839548	0.947076	0.044840	25.409069	0.120079	0.746679	1.709748	2.043185	1652.459086
838	-12.384727	-5927.173301	-1180.088536	1.870695	1.168587	0.055616	25.622927	0.008732	0.708797	1.589905	1.989019	1647.632578
839	-12.641808	-5864.031049	-1181.475964	1.895217	1.094117	0.026771	24.584412	0.002010	0.723417	1.554681	1.909179	1618.788009
840	-12.414991	-5880.451429	-1175.169112	1.863625	1.044443	0.038414	24.482630	0.114509	0.697947	1.556283	1.975521	1615.830557
841	-12.227059	-5886.498208	-1184.721200	1.807768	1.007056	0.049096	24.366795	0.054222	0.747815	1.631109	1.946751	1619.757924
842	-12.784527	-5925.115934	-1182.847368	1.768980	1.022886	0.014929	24.617001	0.019710	0.729158	1.848165	2.253805	1641.177416
843	-12.775738	-6008.949405	-1191.302283	1.872331	0.939384	0.015972	24.346961	0.086100	0.804312	1.976394	2.230713	1678.037906
844	-12.438343	-5940.299514	-1184.557173	1.837625	0.924504	0.028154	23.741241	0.069632	0.753732	1.810261	2.146618	1654.253146
845	-12.748578	-5920.876942	-1184.700495	1.854088	0.963750	0.017251	24.747989	0.139731	0.728942	1.691557	2.063360	1634.711188
846	-12.166764	-5944.342719	-1179.075879	1.809209	1.058343	0.065003	24.946702	0.243878	0.702559	1.617395	2.040251	1647.723914
847	-12.597846	-5983.444020	-1185.845735	1.734657	1.120963	0.021330	23.727523	0.005072	0.786391	1.723980	1.977874	1669.368023
848	-12.382024	-5973.364541	-1196.273290	1.772418	0.799906	0.026587	24.507326	0.002939	0.794951	1.920976	2.186426	1664.403182
849	-12.743348	-5933.545465	-1190.026675	1.804149	0.901216	0.014008	24.144152	0.272467	0.748266	1.667816	1.989567	1649.925348
850	-12.225370	-5959.211326	-1177.661458	1.849405	1.093070	0.058475	23.940784	0.256350	0.739822	1.756223	2.115054	1652.245378
851	-12.525301	-5953.022294	-1187.098077	1.830512	0.959834	0.024630	24.065672	0.096956	0.777912	1.758272	2.033733	1664.665768
852	-12.502701	-5959.287013	-1190.528017	1.798717	0.988410	0.024859	23.757947	0.186572	0.659002	1.521231	2.047346	1667.464503
853	-12.077869	-5974.481116	-1190.180011	1.792290	1.014590	0.062580	23.487904	0.005161	0.749273	1.727838	2.058877	1663.238683
854	-12.627246	-5976.323249	-1196.593228	1.842634	1.076966	0.024892	24.485676	0.140959	0.666505	1.627057	2.163467	1675.424551
855	-13.008386	-5950.236803	-1184.530174	1.830855	1.037873	0.010303	24.225155	0.032439	0.724487	1.847279	2.265515	1662.093628
856	-12.041088	-5970.270118	-1189.913934	1.833300	1.096190	0.087580	24.019257	0.279059	0.752234	1.629426	1.935325	1668.450994
857	-12.309329	-5978.675761	-1189.911166	1.795538	0.942863	0.035753	23.910970	0.060115	0.726145	1.723555	2.109510	1673.452886
858	-12.781790	-5956.529081	-1194.433239	1.816985	1.031785	0.015736	24.138400	0.053522	0.678855	1.671239	2.180360	1655.967650
859	-12.280372	-5943.681720	-1189.953081	1.820589	1.045456	0.049382	24.648207	0.067405	0.701421	1.738799	2.196770	1651.701603
860	-12.030489	-5916.248482	-1169.700224	1.845753	0.920855	0.077240	24.680798	0.158645	0.737085	1.705314	2.060239	1630.784130
