it	prior	PP_lik	BD_lik	q_0	q_1	q_2	root_age	death_age	w_shape	w_scale_0	mean_longevity_0	tot_length	
46	-12.932895	-5960.500300	-1196.696905	1.750990	0.900351	0.008078	24.420160	0.097242	0.756718	1.850411	2.187197	1678.690275
47	-13.038226	-6026.213411	-1192.108694	1.841247	0.873184	0.007317	24.390179	0.078932	0.789529	1.876333	2.146330	1710.426541
48	-12.573942	-6008.666427	-1192.190896	1.759587	1.021352	0.019015	23.991171	0.027616	0.724897	1.748704	2.143549	1705.304217
49	-12.588479	-5949.323542	-1190.472610	1.777158	0.878655	0.018773	25.613509	0.125075	0.678769	1.731543	2.259324	1681.559681
50	-13.593189	-5954.381190	-1188.090425	1.775565	0.975859	0.002332	24.100471	0.016579	0.805114	1.858870	2.096590	1677.842023
51	-12.902738	-5980.403666	-1192.742669	1.780973	1.094181	0.010957	23.761782	0.068458	0.732866	1.959988	2.379640	1685.938990
52	-13.278247	-5930.093010	-1190.621200	1.756593	1.164026	0.005674	24.566536	0.005660	0.658719	1.525399	2.053909	1662.685708
53	-12.838847	-5937.104520	-1184.578347	1.777928	1.079275	0.013045	24.865266	0.132063	0.708200	1.542875	1.931697	1655.828470
54	-12.865470	-5922.637463	-1183.637716	1.803897	1.169267	0.014598	24.768108	0.268542	0.743672	1.771013	2.123547	1648.021282
55	-12.051891	-5885.726409	-1180.531710	1.904876	0.994999	0.076672	24.085518	0.018331	0.688753	1.722864	2.215372	1650.154764
56	-12.748955	-5953.946165	-1181.403759	1.838971	0.945712	0.015187	25.033012	0.005432	0.739732	1.805822	2.175012	1675.716930
57	-12.346333	-5984.903180	-1199.312950	1.773973	0.884232	0.029968	25.276165	0.063610	0.699132	1.645210	2.085015	1704.960848
58	-12.494976	-6025.928955	-1196.561249	1.798971	1.009469	0.023854	24.088535	0.051053	0.711341	1.706891	2.128304	1707.037441
59	-12.447171	-5978.470621	-1186.509030	1.843205	0.825275	0.023851	24.374630	0.459894	0.811294	2.012249	2.257474	1669.839084
60	-12.107729	-5997.340492	-1201.425751	1.765970	0.825050	0.044246	24.627974	0.005015	0.748596	1.904097	2.270602	1700.531185
61	-12.411197	-5989.735997	-1185.319364	1.740523	0.883365	0.023297	24.636371	0.329263	0.714858	1.738924	2.158459	1685.699140
62	-12.815009	-5898.067833	-1190.613919	1.773827	0.883450	0.011257	25.093175	0.008591	0.669227	1.744035	2.309100	1652.973876
63	-12.043231	-5925.428361	-1182.167614	1.751303	1.020683	0.063099	24.647998	0.049773	0.703385	1.665556	2.098672	1656.986513
64	-12.030295	-5901.248325	-1183.828248	1.830945	0.937411	0.067671	24.749356	0.091569	0.673647	1.447843	1.903868	1651.768140
65	-13.207049	-5944.173754	-1181.297670	1.843936	1.108066	0.006861	24.260828	0.053755	0.686886	1.659353	2.139442	1662.323407
66	-12.529249	-5963.970787	-1187.990975	1.826669	0.917027	0.021757	24.508135	0.136797	0.769956	1.910672	2.227566	1686.218650
67	-12.342527	-5986.903414	-1190.543285	1.763360	0.885112	0.027034	24.162803	0.104181	0.699171	1.757049	2.226632	1700.470013
68	-12.976082	-6019.063107	-1202.816152	1.794053	0.845020	0.007251	23.885823	0.093423	0.806560	2.079592	2.342577	1734.459365
69	-13.255700	-6008.152472	-1205.138995	1.784746	0.791849	0.003922	24.365812	0.078781	0.721661	1.676339	2.063046	1728.572094
70	-12.975072	-6048.127501	-1198.907047	1.798691	0.880224	0.007648	24.106675	0.016557	0.778318	1.907588	2.205567	1727.558899
71	-12.452055	-6101.703479	-1207.536065	1.822977	0.848801	0.023463	24.385683	0.238570	0.727162	1.896014	2.317725	1746.684744
72	-13.139644	-6010.333992	-1200.095038	1.748771	0.962260	0.005754	24.400398	0.006493	0.787733	2.058562	2.358745	1703.013317
73	-13.179085	-5939.281641	-1186.022914	1.883709	0.968486	0.006378	24.028948	0.016575	0.759022	1.833395	2.161783	1672.392633
74	-12.942353	-6001.107128	-1196.311516	1.731847	1.022005	0.009806	25.495305	0.001114	0.817579	2.004872	2.237293	1695.287329
75	-12.320110	-5980.911431	-1195.711346	1.826790	0.942159	0.033569	24.049899	0.007612	0.761551	1.904217	2.239323	1688.708467
76	-12.532392	-6002.028216	-1189.914543	1.787684	0.977295	0.022860	25.005402	0.040949	0.750837	1.929531	2.295267	1697.160699
77	-11.886734	-6044.418512	-1192.339669	1.799871	0.980134	0.103273	25.152411	0.079619	0.817519	2.069194	2.309185	1703.152310
78	-12.324164	-5960.258868	-1178.457033	1.737457	1.022165	0.033816	24.935930	0.165402	0.755512	1.778171	2.104525	1653.563447
79	-12.257200	-5939.741252	-1185.808774	1.819259	0.973108	0.040678	24.455801	0.148316	0.720315	1.720939	2.121481	1659.938848
80	-12.133729	-5899.649512	-1172.670073	1.783969	0.855078	0.043680	24.542461	0.169517	0.718550	1.698207	2.098086	1636.329681
81	-12.466197	-5935.435490	-1187.801834	1.742080	0.873186	0.020196	24.444673	0.152089	0.689831	1.649673	2.117995	1660.804114
82	-12.256290	-5957.302560	-1194.657743	1.784078	0.963941	0.036944	24.316371	0.143844	0.748393	1.681193	2.005244	1677.421320
83	-12.767273	-6012.346852	-1193.592256	1.783542	0.853138	0.011086	23.923433	0.139526	0.844094	2.160990	2.361399	1702.259536
84	-12.632641	-5926.023482	-1187.321028	1.791064	1.159242	0.022901	24.616429	0.265465	0.613879	1.461635	2.135993	1653.625144
85	-12.700084	-5977.249957	-1190.968123	1.771369	1.079929	0.016658	24.412481	0.026026	0.683826	1.570525	2.033942	1688.313410
86	-12.702422	-5965.141172	-1190.421065	1.797789	0.810010	0.012391	24.282595	0.060592	0.728596	1.615866	1.971852	1685.597865
87	-12.331133	-5971.375769	-1195.524465	1.702976	1.063155	0.031808	24.454212	0.327013	0.685133	1.632699	2.110431	1691.326666
88	-12.319376	-6025.579258	-1203.409671	1.795658	0.898403	0.032677	24.845729	0.125023	0.710450	1.835161	2.290893	1717.207398
89	-12.855250	-5984.497544	-1184.557749	1.806333	0.967687	0.011095	24.317120	0.610971	0.739200	1.788171	2.155070	1676.451735
90	-11.896845	-5987.301682	-1183.932302	1.725372	0.945683	0.071955	24.040807	0.078199	0.734926	1.784836	2.161745	1676.173542
91	-12.295272	-6020.882319	-1182.271927	1.811221	1.189380	0.050192	24.140762	0.100218	0.848108	2.239972	2.440391	1681.861143
92	-12.313154	-5974.873661	-1186.818983	1.752324	0.905733	0.027817	23.878466	0.016793	0.749395	1.753793	2.089526	1677.214435
93	-12.211407	-5971.896953	-1198.098556	1.770212	0.899558	0.037677	24.379478	0.043058	0.733376	1.853739	2.249290	1685.410722
94	-12.013327	-5958.757965	-1190.954711	1.788150	0.971110	0.068069	24.604103	0.185432	0.816273	1.982826	2.215107	1670.523785
95	-12.075854	-5914.988760	-1183.826956	1.863561	0.901415	0.061781	24.691358	0.035481	0.679674	1.535115	2.000318	1659.785411
96	-12.395143	-6014.011626	-1190.364175	1.784480	1.003089	0.028486	23.892976	0.176376	0.802580	2.060214	2.328876	1704.959061
97	-12.064170	-6038.166164	-1194.235209	1.768457	0.881587	0.050144	24.332987	0.095243	0.762545	1.808335	2.124359	1712.127688
98	-12.842400	-6006.895297	-1185.377000	1.727269	1.080770	0.011096	23.852561	0.087452	0.812398	1.978792	2.217851	1694.424080
99	-13.000124	-5958.307034	-1179.948750	1.869903	0.927053	0.008977	24.460421	0.176941	0.736756	1.906276	2.303905	1665.099985
100	-12.582143	-5968.850879	-1195.490786	1.743353	0.998135	0.018708	24.796286	0.028035	0.705727	1.496289	1.879501	1684.097667
101	-12.797867	-5984.604365	-1201.656295	1.751900	1.116269	0.015403	25.527898	0.009344	0.804326	1.943659	2.193738	1703.966149
102	-13.191133	-6052.870636	-1207.996436	1.731357	0.925873	0.004818	24.194870	0.007364	0.831883	2.253239	2.485456	1727.112705
103	-13.692877	-6037.492310	-1194.064708	1.757142	1.112787	0.002491	25.113064	0.103479	0.788558	2.200535	2.519469	1710.049069
104	-13.235179	-5964.356497	-1188.821344	1.743576	1.047078	0.006166	26.529949	0.002428	0.641413	1.394210	1.933601	1680.953574
105	-13.149166	-6045.760424	-1196.464874	1.727631	1.066577	0.007435	26.535960	0.059909	0.784117	1.986627	2.284128	1715.340636
106	-12.677121	-5940.529748	-1186.649191	1.782519	0.975628	0.016836	24.897140	0.106158	0.758613	2.109521	2.488444	1662.887502
107	-12.472865	-5955.034430	-1182.644662	1.812567	1.008669	0.025700	24.265332	0.023670	0.686014	1.476679	1.906318	1659.646217
108	-12.870079	-5950.929156	-1185.190275	1.789135	1.074737	0.011617	24.146772	0.256545	0.687716	1.458741	1.878540	1658.448062
109	-12.774790	-5929.420046	-1181.630557	1.792205	1.095866	0.013845	23.520222	0.042266	0.708415	1.573553	1.969548	1662.640945
110	-12.375094	-5968.000203	-1189.543923	1.786012	0.877956	0.025305	23.907045	0.083770	0.672050	1.611595	2.124409	1692.752009
111	-12.994298	-5948.828363	-1195.154894	1.801085	0.672521	0.006019	24.004789	0.002304	0.720196	1.728723	2.131390	1697.543926
