Species	Status
Acinonyx_brachygnathus	extinct
Acinonyx_jubatus	extant
Acinonyx_pardinensis	extinct
Acinonyx_pleistocaenicus	extinct
Adcrocuta_eximia	extinct
Adelphailurus_kansensis	extinct
Adelpharctos_mirus	extinct
Adilophontes_brachykolos	extinct
Aelurodon_asthenostylus	extinct
Aelurodon_ferox	extinct
Aelurodon_mcgrewi	extinct
Aelurodon_montanensis	extinct
Aelurodon_stirtoni	extinct
Aelurodon_taxoides	extinct
Agnotherium_antiquus	extinct
Agnotherium_grivense	extinct
Agriotherium_inexpetans	extinct
Agriotherium_insigne	extinct
Agriotherium_intermedium	extinct
Agriotherium_roblesi	extinct
Agriotherium_schneideri	extinct
Agriotherium_sivalense	extinct
Ailurarctos_lufengensis	extinct
Ailuropoda_melanoleuca	extant
Ailuropoda_microta	extinct
Ailuropoda_wulingshanensis	extinct
Ailurus_fulgens	extant
Aktaucyon_brachifacialis	extinct
Algarolutra_majori	extinct
Allocyon_loganensis	extinct
Allohyaena_kadici	extinct
Alopecocyon_goeriachensis	extinct
Alopex_lagopus	extant
Amphicticeps_dorog	extinct
Amphicticeps_makhchinus	extinct
Amphicticeps_shacklefordi	extinct
Amphictis_aginensis	extinct
Amphictis_ambigua	extinct
Amphictis_antiqua	extinct
Amphictis_borbonica	extinct
Amphictis_cuspida	extinct
Amphictis_lemanensis	extinct
Amphictis_milloquensis	extinct
Amphictis_prolongata	extinct
Amphictis_schlosseri	extinct
Amphictis_wintershofensis	extinct
Amphicynodon_gracilis	extinct
Amphicynodon_leptorhynchus	extinct
Amphicynodon_teilhardi	extinct
Amphicynodon_typicus	extinct
Amphicynodon_velaunus	extinct
Amphicyon_bohemicus	extinct
Amphicyon_confucianus	extinct
Amphicyon_frendens	extinct
Amphicyon_galushai	extinct
Amphicyon_giganteus	extinct
Amphicyon_ingens	extinct
Amphicyon_lactorensis	extinct
Amphicyon_lathanicus	extinct
Amphicyon_longiramus	extinct
Amphicyon_major	extinct
Amphicyon_minor	extinct
Amphicyon_olisiponensis	extinct
Amphicyon_palaeindicus	extinct
Amphicyon_pontoni	extinct
Amphicyon_tairumensis	extinct
Amphicyon_ulungurensis	extinct
Amphicyon_youngi	extinct
Amphimachairodus_copei	extinct
Amphimachairodus_giganteus	extinct
Amphimachairodus_irtyschensis	extinct
Amphimachairodus_kurteni	extinct
Amphimachairodus_romeri	extinct
Anatolictis_laevicaninus	extinct
Anictis_simplicidens	extinct
Aonyx_antiqua	extinct
Aonyx_cinerea	extant
Archaeocyon_falkenbachi	extinct
Archaeocyon_leptodus	extinct
Archaeocyon_pavidus	extinct
Arctictis_binturong	extant
Arctodus_pristinus	extinct
Arctodus_simus	extinct
Arctomeles_dimolodontus	extinct
Arctomeles_pliocaenicus	extinct
Arctomeles_sotnikovae	extinct
Arctonasua_eurybates	extinct
Arctonasua_floridana	extinct
Arctonasua_fricki	extinct
Arctonasua_gracilis	extinct
Arctonasua_minima	extinct
Arctonyx_collaris	extant
Arctonyx_minor	extinct
Ballusia_elmensis	extinct
Ballusia_hareni	extinct
Baranogale_adroveri	extinct
Baranogale_antiqua	extinct
Baranogale_balkanica	extinct
Baranogale_beremendensis	extinct
Baranogale_helbingi	extinct
Barbourofelis_fricki	extinct
Barbourofelis_loveorum	extinct
Barbourofelis_morrisi	extinct
Barbourofelis_osborni	extinct
Barbourofelis_whitfordi	extinct
Bassaricyon_gabbii	extant
Bassaricyonoides_phyllismillerae	extinct
Bassaricyonoides_stewartae	extinct
Bassariscus_antiquus	extinct
Bassariscus_astutus	extant
Bassariscus_casei	extinct
Bassariscus_minimus	extinct
Bassariscus_ogallalae	extinct
Bathygale_lemanensis	extinct
Belbus_beaumonti	extinct
Borophagus_diversidens	extinct
Borophagus_hilli	extinct
Borophagus_littoralis	extinct
Borophagus_orc	extinct
Borophagus_parvus	extinct
Borophagus_pugnator	extinct
Borophagus_secundus	extinct
Bosdagius_felinus	extinct
Brachyopsigale_dubius	extinct
Brachyprotoma_obtusata	extinct
Brachypsalis_matutinus	extinct
Brachypsalis_modicus	extinct
Brachypsalis_obliquidens	extinct
Brachypsalis_pachycephalus	extinct
Brachyrhynchocyon_dodgei	extinct
Brachyrhynchocyon_intermedius	extinct
Brachyrhynchocyon_montanus	extinct
Broiliana_dehmi	extinct
Broiliana_nobilis	extinct
Buisnictis_breviramus	extinct
Buisnictis_burrowsi	extinct
Buisnictis_chisoensis	extinct
Buisnictis_schoffi	extinct
Caedocyon_tedfordi	extinct
Canis_apolloniensis	extinct
Canis_armbrusteri	extinct
Canis_arnensis	extinct
Canis_aureus	extant
Canis_brevirostris	extinct
Canis_cautleyi	extinct
Canis_cedazoensis	extinct
Canis_chihliensis	extinct
Canis_cyonoides	extinct
Canis_dirus	extinct
Canis_edwardii	extinct
Canis_etruscus	extinct
Canis_falconeri	extinct
Canis_familiaris	extant
Canis_ferox	extinct
Canis_khomenkoi	extinct
Canis_latrans	extant
Canis_lepophagus	extinct
Canis_longdanensis	extinct
Canis_lupus	extant
Canis_michauxi	extinct
Canis_mosbachensis	extinct
Canis_multicuspus	extinct
Canis_palmidens	extinct
Canis_pinjorensis	extinct
Canis_rufus	extant
Canis_senezensis	extinct
Canis_teilhardi	extinct
Canis_tengisii	extinct
Canis_variabilis	extinct
Canis_yuanmouensis	extinct
Caracal_caracal	extant
Carpocyon_compressus	extinct
Carpocyon_limosus	extinct
Carpocyon_robustus	extinct
Carpocyon_webbi	extinct
Catopuma_temminckii	extant
Cephalogale_gracile	extinct
Cephalogale_meschethense	extinct
Cerdocyon_avius	extinct
Cernictis_hesperus	extinct
Cernictis_repenningi	extinct
Chamitaxus_avitus	extinct
Chaprongictis_phetchaburiensis	extinct
Chasmaporthetes_bonisi	extinct
Chasmaporthetes_borissiaki	extinct
Chasmaporthetes_lunensis	extinct
Chasmaporthetes_melei	extinct
Chasmaporthetes_ossifragus	extinct
Circamustela_dechaseauxi	extinct
Conepatus_leuconotus	extant
Conepatus_robustus	extinct
Cormocyon_copei	extinct
Cormocyon_haydeni	extinct
Crassidia_intermedia	extinct
Crocuta_brunea	extinct
Crocuta_crocuta	extinct
Crocuta_honanensis	extinct
Crocuta_spelaea	extinct
Crocuta_ultima	extinct
Cubacyon_transversidens	extinct
Cuon_alpinus	extant
Cuon_antiquus	extinct
Cuon_javanicus	extinct
Cuon_priscus	extinct
Cuon_simplicidens	extinct
Cuon_stehlini	extinct
Cuon_texanus	extinct
Cynarctoides_acridens	extinct
Cynarctoides_emryi	extinct
Cynarctoides_gawnae	extinct
Cynarctoides_harlowi	extinct
Cynarctoides_lemur	extinct
Cynarctoides_luskensis	extinct
Cynarctoides_roii	extinct
Cynarctus_crucidens	extinct
Cynarctus_galushai	extinct
Cynarctus_marylandica	extinct
Cynarctus_saxatilis	extinct
Cynarctus_voorhiesi	extinct
Cynelos_caroniavorus	extinct
Cynelos_crassidens	extinct
Cynelos_helbingi	extinct
Cynelos_idoneus	extinct
Cynelos_lemanensis	extinct
Cynelos_rugosidens	extinct
Cynelos_schlosseri	extinct
Cynelos_sinapius	extinct
Cynodesmus_martini	extinct
Cynodesmus_thooides	extinct
Cynodictis_lacustris	extinct
Cynodictis_palmidens	extinct
Cynotherium_sardous	extinct
Cyrnaonyx_antiqua	extinct
Cyrnolutra_castiglionis	extinct
Daphoenictis_tedfordi	extinct
Daphoenodon_falkenbachi	extinct
Daphoenodon_notionastes	extinct
Daphoenodon_robustum	extinct
Daphoenodon_skinneri	extinct
Daphoenodon_superbus	extinct
Daphoenus_hartshornianus	extinct
Daphoenus_lambei	extinct
Daphoenus_ruber	extinct
Daphoenus_socialis	extinct
Daphoenus_vetus	extinct
Desmocyon_matthewi	extinct
Desmocyon_thomsoni	extinct
Dinaelurus_crassus	extinct
Dinictis_cyclops	extinct
Dinictis_felina	extinct
Dinocrocuta_gigantea	extinct
Dinocrocuta_salonicae	extinct
Dinocrocuta_senyureki	extinct
Dinocyon_thenardi	extinct
Dinofelis_cristata	extinct
Dinofelis_diastemata	extinct
Dinofelis_palaeoonca	extinct
Dinogale_siouxensis	extinct
Drassonax_harpagops	extinct
Ectopocynus_antiquus	extinct
Ectopocynus_intermedius	extinct
Ectopocynus_simplicidens	extinct
Edaphocyon_lautus	extinct
Edaphocyon_palmeri	extinct
Edaphocyon_pointblankensis	extinct
Eira_barbara	extinct
Eirictis_robusta	extinct
Enhydra_lutris	extant
Enhydra_macrodonta	extinct
Enhydrictis_ardea	extinct
Enhydrictis_galictoides	extinct
Enhydriodon_campanii	extinct
Enhydriodon_falconeri	extinct
Enhydriodon_latipes	extinct
Enhydriodon_sivalensis	extinct
Enhydritherium_terraenovae	extinct
Enhydrocyon_basilatus	extinct
Enhydrocyon_crassidens	extinct
Enhydrocyon_pahinsintewakpa	extinct
Enhydrocyon_prolatus	extinct
Enhydrocyon_stenocephalus	extinct
Eomellivora_liguritor	extinct
Eomellivora_piveteaui	extinct
Eomellivora_wimani	extinct
Epicyon_aelurodontoides	extinct
Epicyon_haydeni	extinct
Epicyon_saevus	extinct
Epimachairodus_fires	extinct
Euboictis_aliverensis	extinct
Eucyon_adoxus	extinct
Eucyon_cipio	extinct
Eucyon_davisi	extinct
Eucyon_debonisi	extinct
Eucyon_marinae	extinct
Eucyon_minor	extinct
Eucyon_monticinensis	extinct
Eucyon_odessanus	extinct
Eucyon_zhoui	extinct
Euoplocyon_brachygnathus	extinct
Euoplocyon_spissidens	extinct
Eusmilus_bidentatus	extinct
Eusmilus_cerebralis	extinct
Eusmilus_sicarius	extinct
Felis_attica	extinct
Felis_chaus	extant
Felis_christoli	extinct
Felis_libyca	extinct
Felis_lunensis	extinct
Felis_micotis	extinct
Felis_rexroadensis	extinct
Felis_silvestris	extant
Felis_sinensis	extinct
Felis_subhimalayana	extinct
Felis_wenzensis	extinct
Felis_youngi	extinct
Ferinestrix_vorax	extinct
Franconictis_humilidens	extinct
Gaillardina_transitoria	extinct
Ginsburgsmilus_napakensis	extinct
Gobicyon_macrognathus	extinct
Gobicyon_zhegalloi	extinct
Goupilictis_minor	extinct
Guangxicyon_sinoamericanus	extinct
Gulo_gulo	extant
Gulo_schlosseri	extinct
Hadrictis_fricki	extinct
Haplocyon_crucians	extinct
Haplocyon_elegans	extinct
Haplocyonoides_mordax	extinct
Haplocyonoides_ponticus	extinct
Haplocyonoides_serbiae	extinct
Harpagophagus_sanguinensis	extinct
Helarctos_malayanus	extant
Hemicyon_gargan	extinct
Hemicyon_goeriachensis	extinct
Hemicyon_hurzeleri	extinct
Hemicyon_mayorali	extinct
Hemicyon_sansaniensis	extinct
Hemicyon_stehlini	extinct
Hemicyon_teilhardi	extinct
Herpestes_atavus	extinct
Herpestes_aurelianensis	extinct
Herpestes_dissimilis	extinct
Herpestides_antiquus	extinct
Herpestides_collectus	extinct
Herpestides_compactus	extinct
Hesperocyon_gregarius	extinct
Hesperoviverra_carpathorum	extinct
Homotherium_crenatidens	extinct
Homotherium_crusafonti	extinct
Homotherium_davitasvilii	extinct
Homotherium_hengduanshanensis	extinct
Homotherium_hungaricus	extinct
Homotherium_idahoensis	extinct
Homotherium_johnstoni	extinct
Homotherium_latidens	extinct
Homotherium_moravicum	extinct
Homotherium_sainzelli	extinct
Homotherium_serum	extinct
Homotherium_ultimus	extinct
Hoplictis_florancei	extinct
Hoplictis_noueli	extinct
Hoplophoneus_mentalis	extinct
Hoplophoneus_occidentalis	extinct
Hoplophoneus_primaevus	extinct
Hoplophoneus_strigidens	extinct
Hyaena_hyaena	extant
Hyaena_prisca	extinct
Hyaenictis_almerai	extinct
Hyaenictis_graeca	extinct
Hyaenictitherium_hyaenoides	extinct
Hyaenictitherium_parvum	extinct
Hyaenictitherium_wongii	extinct
Hyaenotherium_aphanistus	extinct
Iberictis_azanzae	extinct
Iberictis_buloti	extinct
Ictiocyon_dehmi	extinct
Ictiocyon_socialis	extinct
Ictitherium_adroveri	extinct
Ictitherium_gaudryi	extinct
Ictitherium_ibericum	extinct
Ictitherium_intuberculatum	extinct
Ictitherium_pannonicum	extinct
Ictitherium_tauricum	extinct
Ictitherium_viverrinum	extinct
Indarctos_anthracitis	extinct
Indarctos_arctoides	extinct
Indarctos_atticus	extinct
Indarctos_maraghanus	extinct
Indarctos_nevadensis	extinct
Indarctos_oregonensis	extinct
Indarctos_sinensis	extinct
Indarctos_vireti	extinct
Indarctos_zdanskyi	extinct
Ischyrictis_anatolicus	extinct
Ischyrictis_bezianensis	extinct
Ischyrictis_helbingi	extinct
Ischyrictis_mustelinus	extinct
Ischyrictis_petteri	extinct
Ischyrictis_zibethoides	extinct
Ischyrocyon_gidleyi	extinct
Jourdanictis_grivensis	extinct
Kinometaxia_guangpui	extinct
Kolponomos_clallamensis	extinct
Kolponomos_newportensis	extinct
Laphyctis_vorax	extinct
Lartetictis_dubia	extinct
Leopardus_pardalis	extant
Leopardus_wiedii	extant
Leptarctus_ancipidens	extinct
Leptarctus_martini	extinct
Leptarctus_mummorum	extinct
Leptarctus_neimenguensis	extinct
Leptarctus_oregonensis	extinct
Leptarctus_primus	extinct
Leptarctus_supremus	extinct
Leptarctus_wortmani	extinct
Leptocyon_gregorii	extinct
Leptocyon_mollis	extinct
Leptocyon_vafer	extinct
Leptocyon_vulpinus	extinct
Limnonyx_pontica	extinct
Limnonyx_sinerizi	extinct
Lontra_canadensis	extant
Lontra_longicaudis	extant
Lutra_affinis	extinct
Lutra_aonychoides	extinct
Lutra_bravardi	extinct
Lutra_bressana	extinct
Lutra_licenti	extinct
Lutra_lutra	extant
Lutra_palaeindica	extinct
Lutra_perspicillata	extinct
Lutra_robusta	extinct
Lutra_simplicidens	extinct
Lutra_sumatrana	extant
Lutra_trinacriae	extinct
Lutravus_halli	extinct
Lutrogale_cretensis	extinct
Lutrogale_palaeoleptonyx	extinct
Lycaon_lycaonoides	extinct
Lycyaena_chaeretis	extinct
Lycyaena_dubia	extinct
Lynx_canadensis	extant
Lynx_issiodorensis	extinct
Lynx_longignathus	extinct
Lynx_lynx	extant
Lynx_pardinus	extant
Lynx_proterolyncis	extinct
Lynx_rufus	extant
Lynx_shansius	extinct
Lynx_spelaea	extinct
Lynx_variabilis	extinct
Machairodus_alberdiae	extinct
Machairodus_aphanistus	extinct
Machairodus_catocopis	extinct
Machairodus_coloradensis	extinct
Machairodus_fossilis	extinct
Machairodus_horribilis	extinct
Machairodus_ischimicus	extinct
Machairodus_laskarevi	extinct
Machairodus_palanderi	extinct
Machairodus_schlosseri	extinct
Maemohcyon_potisati	extinct
Magerictis_imperialensis	extinct
Magericyon_anceps	extinct
Magericyon_castellanus	extinct
Mammacyon_obtusidens	extinct
Marcetia_santigae	extinct
Martes_andersoni	extinct
Martes_basilii	extinct
Martes_burdigaliensis	extinct
Martes_cadeoti	extinct
Martes_campestris	extinct
Martes_collongensis	extinct
Martes_delphinensis	extinct
Martes_diluviana	extinct
Martes_filholi	extinct
Martes_flavigula	extant
Martes_foina	extant
Martes_foxi	extinct
Martes_gazini	extinct
Martes_jaegeri	extinct
Martes_laevidens	extinct
Martes_lefkonensis	extinct
Martes_martes	extant
Martes_mellibulla	extinct
Martes_munki	extinct
Martes_pachygnatha	extinct
Martes_paleosinensis	extinct
Martes_parviloba	extinct
Martes_pennanti	extant
Martes_sainjoni	extinct
Martes_sansaniensis	extinct
Martes_sinensis	extinct
Martes_stirtoni	extinct
Martes_vetus	extinct
Martes_wenzensis	extinct
Martes_woodwardi	extinct
Martes_zibellina	extant
Martinogale_alveodens	extinct
Matanomictis_maniyarensis	extinct
Mececyon_trinilensis	extinct
Megalenhydris_barbaricina	extinct
Megalictis_ferox	extinct
Megalictis_frazieri	extinct
Megalictis_petersoni	extinct
Megantereon_cultridens	extinct
Megantereon_falconeri	extinct
Megantereon_hesperus	extinct
Megantereon_megantereon	extinct
Megantereon_nihowanensis	extinct
Megantereon_praecox	extinct
Megantereon_whitei	extinct
Megaviverra_apennina	extinct
Meles_atavus	extinct
Meles_chiai	extinct
Meles_dimitrius	extinct
Meles_gennevauxi	extinct
Meles_hollitzeri	extinct
Meles_iberica	extinct
Meles_leucurus	extant
Meles_meles	extant
Meles_taxus	extinct
Meles_teilhardi	extinct
Meles_thorali	extinct
Melidellavus_leptorhynchus	extinct
Mellivora_benfieldi	extinct
Mellivora_sivalensis	extinct
Melodon_majori	extinct
Melogale_orientalis	extant
Melursus_theobaldi	extinct
Mesocyon_brachyops	extinct
Mesocyon_coryphaeus	extinct
Mesocyon_temnodon	extinct
Mesomephitis_medius	extinct
Metahyaena_confector	extinct
Metailurus_boodon	extinct
Metailurus_major	extinct
Metailurus_mongoliensis	extinct
Metailurus_parvulus	extinct
Metatomarctus_canavus	extinct
Microtomarctus_conferta	extinct
Miohyaenotherium_bessarabicum	extinct
Miomachairodus_pseudailuroides	extinct
Miomephitis_pilgrimi	extinct
Miomustela_madisonae	extinct
Mionictis_angustidens	extinct
Mionictis_dubia	extinct
Mionictis_elegans	extinct
Mionictis_incertus	extinct
Mionictis_letifer	extinct
Mionictis_pristinus	extinct
Miracinonyx_inexpectatus	extinct
Miracinonyx_studeri	extinct
Mustela_altaica	extant
Mustela_americana	extinct
Mustela_constricta	extinct
Mustela_erminea	extant
Mustela_eversmannii	extant
Mustela_frenata	extant
Mustela_jacksoni	extinct
Mustela_kathiah	extant
Mustela_larteti	extinct
Mustela_leporinum	extinct
Mustela_majori	extinct
Mustela_meltoni	extinct
Mustela_nigripes	extant
Mustela_nivalis	extant
Mustela_nudipes	extant
Mustela_palerminea	extinct
Mustela_pliocaenica	extinct
Mustela_plioerminea	extinct
Mustela_praenivalis	extinct
Mustela_putorius	extant
Mustela_rexroadensis	extinct
Mustela_sibirica	extant
Mustela_stromeri	extinct
Mustelavus_priscus	extinct
Nannomephitis_crassidens	extinct
Nasua_nasua	extant
Nasua_pronarica	extinct
Neocynodesmus_delicatus	extinct
Neofelis_nebulosa	extant
Neovison_vison	extant
Nesolutra_euxena	extinct
Nimravides_galiani	extinct
Nimravides_hibbardi	extinct
Nimravides_pedionomus	extinct
Nimravides_thinobates	extinct
Nimravus_brachyops	extinct
Nimravus_intermedius	extinct
Nimravus_mongoliensis	extinct
Nimravus_sectator	extinct
Nyctereutes_donnezani	extinct
Nyctereutes_megamastoides	extinct
Nyctereutes_procyonoides	extant
Nyctereutes_sinensis	extinct
Nyctereutes_tingi	extinct
Oligobunis_floridanus	extinct
Osbornodon_brachypus	extinct
Osbornodon_fricki	extinct
Osbornodon_iamonensis	extinct
Osbornodon_renjiei	extinct
Osbornodon_scitulus	extinct
Osbornodon_sesnoni	extinct
Osbornodon_wangi	extinct
Osmotherium_spelaeum	extinct
Otarocyon_cooki	extinct
Otarocyon_macdonaldi	extinct
Oxetocyon_cuspidatus	extinct
Pachycrocuta_brevirostris	extinct
Pachycynodon_tedfordi	extinct
Paguma_larvata	extant
Palaeogale_dorothiae	extinct
Palaeogale_fecunda	extinct
Palaeogale_hyaenoides	extinct
Palaeogale_minuta	extinct
Palaeogale_praehyaenoides	extinct
Palaeogale_sanguinarius	extinct
Palaeogale_sectoria	extinct
Palaeomeles_pachecoi	extinct
Paludolutra_lluecai	extinct
Paludolutra_maremmana	extinct
Pannonictis_nestii	extinct
Pannonictis_pachygnatha	extinct
Pannonictis_pliocaenica	extinct
Pannonictis_rumana	extinct
Panthera_blytheae	extinct
Panthera_gombaszoegensis	extinct
Panthera_leo	extant
Panthera_microtis	extinct
Panthera_onca	extant
Panthera_palaeosinensis	extinct
Panthera_pardus	extant
Panthera_spelaea	extinct
Panthera_tigris	extant
Paracynarctus_kelloggi	extinct
Paracynarctus_sinclairi	extinct
Paradaphoenus_cuspigerus	extinct
Paradaphoenus_minimus	extinct
Paradaphoenus_tooheyi	extinct
Paradoxurus_hermaphroditus	extant
Paraenhydriodon_csakvarensis	extinct
Paraenhydrocyon_josephi	extinct
Paraenhydrocyon_robustus	extinct
Paraenhydrocyon_wallovianus	extinct
Paragale_huerzeleri	extinct
Parahyaena_brunnea	extinct
Parailurus_anglicus	extinct
Parailurus_baikalicus	extinct
Parailurus_hungaricus	extinct
Paralutra_garganensis	extinct
Paralutra_jaegeri	extinct
Paralutra_lorteti	extinct
Paralutra_transdanubica	extinct
Paramachaerodus_maximiliani	extinct
Paramachaerodus_orientalis	extinct
Paramartes_pococki	extinct
Parameles_ferus	extinct
Parameles_simplicidens	extinct
Parameles_suillus	extinct
Paranasua_biradica	extinct
Parapotos_tedfordi	extinct
Parataxidea_crassa	extinct
Parataxidea_maraghana	extinct
Parataxidea_sinensis	extinct
Paratomarctus_euthos	extinct
Paratomarctus_temerarius	extinct
Parictis_dakotensis	extinct
Parictis_gilpini	extinct
Parictis_major	extinct
Parictis_montanus	extinct
Parictis_parvus	extinct
Parictis_personi	extinct
Percrocuta_abessalomi	extinct
Percrocuta_carnifex	extinct
Percrocuta_minor	extinct
Percrocuta_miocenica	extinct
Percrocuta_tungurensis	extinct
Perunium_ursogulo	extinct
Philotrox_condoni	extinct
Phlaocyon_achoros	extinct
Phlaocyon_annectens	extinct
Phlaocyon_latidens	extinct
Phlaocyon_leucosteus	extinct
Phlaocyon_mariae	extinct
Phlaocyon_marslandensis	extinct
Phlaocyon_minor	extinct
Phlaocyon_multicuspus	extinct
Phlaocyon_taylori	extinct
Phlaocyon_yatkolai	extinct
Phoberocyon_akhmetievi	extinct
Phoberocyon_aurelianensis	extinct
Phoberocyon_dehmi	extinct
Phoberocyon_hispanicus	extinct
Phoberocyon_johnhenryi	extinct
Phoberocyon_youngi	extinct
Phoberogale_depereti	extinct
Phoberogale_ginesticus	extinct
Plesictis_croizeti	extinct
Plesictis_dieupentalensis	extinct
Plesictis_genetoides	extinct
Plesictis_humilidens	extinct
Plesictis_julieni	extinct
Plesictis_laugnacensis	extinct
Plesictis_mayri	extinct
Plesictis_milloquensis	extinct
Plesictis_palustris	extinct
Plesictis_stenoplesictoides	extinct
Plesictis_vireti	extinct
Plesiogale_angustifrons	extinct
Plesiogale_postfelina	extinct
Plesiogulo_brachygnathus	extinct
Plesiogulo_crassa	extinct
Plesiogulo_lindsayi	extinct
Plesiogulo_marshalli	extinct
Plesiogulo_monspessulanus	extinct
Plesiogulo_praecocidens	extinct
Plesiomeles_cajali	extinct
Plesiomeles_meini	extinct
Plesiomeles_pusilla	extinct
Pliocrocuta_perrieri	extinct
Pliocrocuta_pyrenaica	extinct
Pliocyon_medius	extinct
Pliogale_furlongi	extinct
Pliogale_manka	extinct
Plionarctos_edensis	extinct
Plionarctos_harroldorum	extinct
Plionarctos_telonensis	extinct
Plionictis_oaxacaensis	extinct
Plionictis_ogygia	extinct
Plionictis_oregonensis	extinct
Pliotaxidea_garberi	extinct
Pliotaxidea_nevadensis	extinct
Plioviverrops_collectus	extinct
Plioviverrops_faventinus	extinct
Plioviverrops_gaudryi	extinct
Plioviverrops_gervaisi	extinct
Plioviverrops_guerini	extinct
Plioviverrops_orbignyi	extinct
Plithocyon_antunesi	extinct
Plithocyon_armagnacensis	extinct
Plithocyon_barstowensis	extinct
Plithocyon_bruneti	extinct
Plithocyon_conquense	extinct
Plithocyon_teilhardi	extinct
Plithocyon_ursinus	extinct
Pogonodon_eileenae	extinct
Pogonodon_platycopis	extinct
Polgardia_pannonica	extinct
Potamotherium_miocaenicum	extinct
Potamotherium_miocenicum	extinct
Potamotherium_vallentoni	extinct
Potos_flavus	extinct
Pratifelis_martini	extinct
Prionailurus_bengalensis	extant
Pristinailurus_bristoli	extinct
Proailurus_lemanensis	extinct
Procyon_cancrivorus	extant
Procyon_lotor	extant
Procyon_rexroadensis	extinct
Progenetta_gaillardi	extinct
Promartes_darbyi	extinct
