speciation,mean_abs,sd_m,ratio,ratio_sd
overall,0.8732506316071058,2.114992687278117,-0.03433868920145036,0.4505461388605383
Budding,1.3844493106536595,2.4810032829938757,-0.2550936061162236,0.5073468383031975
Anagenetic-budding,1.1423075245958796,2.103432904304117,-0.07614278922252787,0.5775989493905039
Bifurcating,0.3554610749292691,1.698022112296794,0.049762914110664976,0.16406399332544508
Anagenetic-bifurcating,0.6107846162496151,1.9391376385747519,0.14411872442228507,0.32354359336981786
