Species	Status	MinT	MaxT
Aceratherium_incisivum	extinct	11	12
Aceratherium_incisivum	extinct	11	12
Aceratherium_incisivum	extinct	11	12
Aceratherium_incisivum	extinct	11	12
Aceratherium_incisivum	extinct	11	12
Aceratherium_incisivum	extinct	11	12
Aceratherium_incisivum	extinct	11	12
Aceratherium_incisivum	extinct	11.6	12.7
Aceratherium_incisivum	extinct	11.6	12.7
Aceratherium_incisivum	extinct	11.6	12.7
Aceratherium_incisivum	extinct	11.1	13.5
Aceratherium_incisivum	extinct	11.1	13.5
Aceratherium_porpani	extinct	6.7	8
Aceratherium_porpani	extinct	7	9
Aceratherium_simplex	extinct	10	12
Acerorhinus_alfambrense	extinct	8	8.7
Acerorhinus_alfambrense	extinct	8.7	9.8
Acerorhinus_fuguensis	extinct	8.7	9.8
Acerorhinus_hezhengensis	extinct	8	8.7
Acerorhinus_hezhengensis	extinct	8	8.7
Acerorhinus_hezhengensis	extinct	8.7	9.8
Acerorhinus_hezhengensis	extinct	8.7	9.8
Acerorhinus_hezhengensis	extinct	8.7	9.8
Acerorhinus_hezhengensis	extinct	8.7	9.8
Acerorhinus_hezhengensis	extinct	8.7	9.8
Acerorhinus_hipparionum	extinct	5.33	11.61
Acerorhinus_lufengensis	extinct	7	7
Acerorhinus_neleus	extinct	6.7	8
Acerorhinus_neleus	extinct	4.9	8.7
Acerorhinus_Sinap	extinct	8.1	8.1
Acerorhinus_Sinap	extinct	8.1	8.1
Acerorhinus_Sinap	extinct	8.1	8.1
Acerorhinus_tsaidamensis	extinct	8.7	11.1
Acerorhinus_tsaidamensis	extinct	8.7	11.1
Acerorhinus_yuanmouensis	extinct	6.7	8.7
Acerorhinus_zernowi	extinct	8.7	9.8
Acerorhinus_zernowi	extinct	8.7	9.8
Acerorhinus_zernowi	extinct	12.5	15.5
Achaenodon_fremdi	extinct	39.5	40.4
Achaenodon_insolens	extinct	43.8	46.3
Achaenodon_insolens	extinct	42.8	43.8
Achaenodon_robustus	extinct	43.8	46.3
Achaenodon_robustus	extinct	40	42.8
Achaenodon_robustus	extinct	43.8	46.3
Achaenodon_uintensis	extinct	42.8	43.8
Aclistomycter_dunagani	extinct	33.7	37.2
Aclistomycter_dunagani	extinct	33.7	37.2
Aclistomycter_middletoni	extinct	37	40
Aclistomycter_middletoni	extinct	37.2	40.4
Aclistomycter_middletoni	extinct	37.2	40.4
Aclistomycter_middletoni	extinct	37.2	40.4
Aclistomycter_middletoni	extinct	37.2	40.4
Aclistomycter_middletoni	extinct	37.2	40.4
Aclistomycter_middletoni	extinct	33.7	37.2
Acritohippus_isonesus	extinct	15.97	20.43
Acritohippus_isonesus	extinct	15.97	20.43
Acritohippus_isonesus	extinct	15.97	20.43
Acritohippus_isonesus	extinct	15.97	20.43
Acritohippus_isonesus	extinct	15.97	20.43
Acritohippus_isonesus	extinct	15.97	20.43
Acritohippus_isonesus	extinct	15.97	20.43
Acritohippus_isonesus	extinct	15.97	20.43
Acritohippus_isonesus	extinct	15.97	20.43
Acritohippus_isonesus	extinct	13.2	18.3
Acritohippus_isonesus	extinct	13.2	18.3
Acritohippus_isonesus	extinct	13.2	18.3
Acritohippus_isonesus	extinct	13.2	18.3
Acritohippus_isonesus	extinct	13.2	18.3
Acritohippus_isonesus	extinct	13.2	18.3
Acritohippus_isonesus	extinct	15.4	18.3
Acritohippus_isonesus	extinct	15.7	18.3
Acritohippus_isonesus	extinct	13.2	18
Acritohippus_isonesus	extinct	14.6	18
Acritohippus_isonesus	extinct	15.4	16.9
Acritohippus_isonesus	extinct	15.4	16.7
Acritohippus_isonesus	extinct	16.4	16.5
Acritohippus_isonesus	extinct	13.6	15.97
Acritohippus_isonesus	extinct	13.6	15.97
Acritohippus_isonesus	extinct	13.6	15.97
