species,mode,root.age,maxTrue,maxEst,extinction.x,sp,minTrue,minEst,extinction.y,age,ratio
t165,Budding,46.42751519777546,0.03486180092635351,0.13328193350299922,High,t706,3.19995746266672e-5,3.1999574626432384e-5,High,est.ratio,0.13324993392837278
t165,Budding,46.42751519777546,0.03486180092635351,0.13328193350299922,High,t706,3.19995746266672e-5,3.1999574626432384e-5,High,true.ratio,0.03482980135172684
t874,Budding,24.420750978933473,0.06109833488083867,0.25985089481152224,High,t564,0.03379248367988333,7.431198075471636e-4,High,est.ratio,0.2591077750039751
t874,Budding,24.420750978933473,0.06109833488083867,0.25985089481152224,High,t564,0.03379248367988333,7.431198075471636e-4,High,true.ratio,0.02730585120095534
t881,Budding,34.42742049723684,0.02942485767298295,0.2262201033568003,High,t602,0.09215788749319812,4.388743327829662e-5,High,est.ratio,0.226176215923522
t881,Budding,34.42742049723684,0.02942485767298295,0.2262201033568003,High,t602,0.09215788749319812,4.388743327829662e-5,High,true.ratio,-0.06273302982021517
t194,Budding,37.57128803097093,0.05415804744709902,0.08436613936158784,High,t58,9.09999286161527e-5,9.099992861593372e-5,High,est.ratio,0.08427513943297191
t194,Budding,37.57128803097093,0.05415804744709902,0.08436613936158784,High,t58,9.09999286161527e-5,9.099992861593372e-5,High,true.ratio,0.05406704751848287
t466,Budding,31.402163040886336,0.00773859270277888,0.3136026214665856,High,t419,1.928262655281484e-4,1.928262655279927e-4,High,est.ratio,0.3134097952010576
t466,Budding,31.402163040886336,0.00773859270277888,0.3136026214665856,High,t419,1.928262655281484e-4,1.928262655279927e-4,High,true.ratio,0.007545766437250732
t275,Budding,22.231829935586063,0.09060564509009988,0.5137775905694723,High,t575,0.00475737636666109,3.3041706514455275e-5,High,est.ratio,0.5137445488629578
t275,Budding,22.231829935586063,0.09060564509009988,0.5137775905694723,High,t575,0.00475737636666109,3.3041706514455275e-5,High,true.ratio,0.0858482687234388
t490,Budding,22.28137082121476,0.01088257898225269,0.17231717479207417,High,t491,4.461306956586372e-5,4.461306956540048e-5,High,est.ratio,0.17227256172250877
t490,Budding,22.28137082121476,0.01088257898225269,0.17231717479207417,High,t491,4.461306956586372e-5,4.461306956540048e-5,High,true.ratio,0.010837965912686825
t724,Budding,32.85448732027497,0.1446360827508549,0.40852647963932853,High,t938,2.2516763964953085e-4,2.251676396492229e-4,High,est.ratio,0.4083013119996793
t724,Budding,32.85448732027497,0.1446360827508549,0.40852647963932853,High,t938,2.2516763964953085e-4,2.251676396492229e-4,High,true.ratio,0.14441091511120538
t563,Budding,21.250973343769036,0.1776239978080631,0.17762399780806232,High,t433,0.02164430791484415,3.570091499326422e-4,High,est.ratio,0.17726698865812968
t563,Budding,21.250973343769036,0.1776239978080631,0.17762399780806232,High,t433,0.02164430791484415,3.570091499326422e-4,High,true.ratio,0.15597968989321895
t484,Budding,21.21549577299842,0.06616321731008065,0.5346848156369728,High,t202,0.00117793176777197,0.00117793176777144,High,est.ratio,0.5335068838692013
t484,Budding,21.21549577299842,0.06616321731008065,0.5346848156369728,High,t202,0.00117793176777197,0.00117793176777144,High,true.ratio,0.06498528554230869
t26,Budding,22.233079002012538,0.13145556334928932,0.33013607031140113,High,t586,0.01889096159352709,4.7260002749742984e-4,High,est.ratio,0.3296634702839037
t26,Budding,22.233079002012538,0.13145556334928932,0.33013607031140113,High,t586,0.01889096159352709,4.7260002749742984e-4,High,true.ratio,0.11256460175576223
t600,Budding,38.12336010865371,0.09071931339526965,0.4198885420735008,High,t32,0.02507616010341814,5.4354794266990776e-5,High,est.ratio,0.41983418727923383
t600,Budding,38.12336010865371,0.09071931339526965,0.4198885420735008,High,t32,0.02507616010341814,5.4354794266990776e-5,High,true.ratio,0.06564315329185151
t806,Budding,18.81223364293643,0.1478798123981772,0.5413245613425919,High,t594,0.07067796432763049,1.0009892148779948e-5,High,est.ratio,0.541314551450443
t806,Budding,18.81223364293643,0.1478798123981772,0.5413245613425919,High,t594,0.07067796432763049,1.0009892148779948e-5,High,true.ratio,0.07720184807054672
