tree,status,mean.true,mean.0.25
tree.1,LC,0.2485904711889064,0.3319510446116412
tree.1,NT,0.8594162755091619,0.7944598292587076
tree.1,VU,1.8668417092939007,1.829567806324885
tree.1,EN,3.142336667100582,2.1371236532763964
tree.1,CR,6.918410204287237,1.5233131692354696
tree.10,LC,0.29896529798948657,0.6414138759937801
tree.10,NT,1.056353880534827,1.2016134042737778
tree.10,VU,1.936682801044178,2.0260675214891277
tree.10,EN,3.4903650079451594,2.4634719439265838
tree.10,CR,7.80443842068181,3.554553895552706
tree.100,LC,0.4360838242679075,0.6082037612028374
tree.100,NT,1.2453271155460022,1.4035098109474407
tree.100,VU,2.3405832887090474,2.3037369409644826
tree.100,EN,4.2287712000919235,1.8800013567147231
tree.100,CR,9.097363114992516,3.693241470127573
tree.1000,LC,0.4691844468730828,0.6883999258388789
tree.1000,NT,1.361472751743672,1.7774642167022707
tree.1000,VU,2.617705574330089,2.098388360618173
tree.1000,EN,4.763736672670567,2.5631728920615915
tree.1000,CR,7.65050966343406,1.2861815746547236
tree.101,LC,0.3395104386872972,0.3250218582032169
tree.101,NT,1.1184702430376998,0.866655138825091
tree.101,VU,2.2509022263024683,1.9180584955394941
tree.101,EN,4.309794040354731,2.4434547528824817
tree.101,CR,8.639350938262806,2.287471212656198
tree.102,LC,0.3386694728024135,0.48403269048717323
tree.102,NT,1.1126016737513542,1.237472925124465
tree.102,VU,2.275058932164093,2.919472258640275
tree.102,EN,3.9599939711257357,1.8720495209864383
tree.102,CR,7.084931038774457,3.327459103587739
tree.103,LC,0.5289097955909374,0.48736520157725344
tree.103,NT,1.4259599637592673,1.3902656735333057
tree.103,VU,2.9730705741817935,2.074432484540563
tree.103,EN,5.017376095152206,4.183926870581681
tree.103,CR,9.531337600388042,3.6728272502474444
tree.104,LC,0.3121781366064183,0.6094138244202293
tree.104,NT,1.0536459294728615,0.8685531461985108
tree.104,VU,2.134581220274112,1.1783858971601846
tree.104,EN,3.6529257893789335,3.0628419903278905
tree.104,CR,9.295084754001147,3.0739376559096407
tree.105,LC,0.22797340224918136,0.22797340224918147
tree.105,NT,0.6839896238418497,0.62197511387581494
tree.105,VU,1.3456638196808255,1.1559190425480346
tree.105,EN,2.4479993138271183,2.214488671374244
tree.105,CR,6.690710395203334,2.116030762933825
tree.106,LC,0.38582413066199184,0.6042544751037069
tree.106,NT,1.1808386057765585,1.6230319831721212
tree.106,VU,2.4760639549859857,1.597698113885734
tree.106,EN,4.420543165737622,3.114185037199603
tree.106,CR,9.378828230343597,2.879297768879504
tree.107,LC,0.38135541527935224,0.3599621008883908
tree.107,NT,1.4073137570646073,1.5976935513264605
tree.107,VU,2.737676267514757,2.7479462120576272
tree.107,EN,4.797412748689219,2.724043683671017
tree.107,CR,9.98453758045378,1.5881139831065525
