tree,status,mean.true,mean.phy
tree.116,NT,0.9978310040731396,0.8514591828611434
tree.116,VU,1.714592803440312,1.243801583373085
tree.116,EN,3.2250141658976967,2.2643168580354875
tree.116,CR,8.030323878185738,4.363594183708105
tree.117,LC,0.32602981979525963,0.4171098667964068
tree.117,NT,1.21210556497275,1.1564563571234334
tree.117,VU,2.5346331725520814,2.5557948782788986
tree.117,EN,4.119695209272982,2.402914193723085
tree.117,CR,8.465413446561042,1.937557772635393
tree.118,LC,0.40360563413893785,0.4617379253465504
tree.118,NT,1.2266086301294172,1.024341269476823
tree.118,VU,2.5372246321397363,2.380084022139535
tree.118,EN,4.570940210699432,2.890031462133964
tree.118,CR,11.953309463796298,2.2982965876979096
tree.119,LC,0.290248963111127,0.2845307567491593
tree.119,NT,0.9223590714239134,0.8547226405509107
tree.119,VU,1.9658295523865261,1.3454051971408123
tree.119,EN,3.727845935761653,3.290286934693337
tree.119,CR,7.972577448173596,2.442655083928265
tree.12,LC,0.2593876960346298,0.7383937272148143
tree.12,NT,0.847800845349053,0.9660933116476331
tree.12,VU,1.7119065683139865,1.2037017316677
tree.12,EN,3.110085762945724,2.578544159924898
tree.12,CR,8.239174703372173,2.063624090145447
tree.120,LC,0.36142000926745926,0.3532138516788755
tree.120,NT,1.163961795318361,1.0903104200838476
tree.120,VU,2.2548903125161,2.2918534254261727
tree.120,EN,3.964072391616843,1.3877410770598624
tree.120,CR,8.92002682390607,3.875407994646695
tree.121,LC,0.24357202039136816,0.2538863787993938
tree.121,NT,0.7577149513474766,0.6205438320088331
tree.121,VU,1.4643583783328722,1.8008075050653964
tree.121,EN,2.5885414601075447,2.492722806300769
tree.121,CR,7.226702064323902,3.3808460703190266
tree.122,LC,0.4736065507808808,0.5261438824716179
tree.122,NT,1.4954663806274862,1.1635743180416251
tree.122,VU,2.95802157160906,2.6791794300430705
tree.122,EN,5.010319959729661,5.1027536564788045
tree.122,CR,10.356029046053575,5.473359345913457
tree.123,LC,0.4957400984101862,0.4831945472049296
tree.123,NT,1.4882930583468128,1.3446167812322962
tree.123,VU,2.7585949812663997,1.9695622584865693
tree.123,EN,5.084159935899054,3.211974020880298
tree.123,CR,11.928800611983732,4.498235505994164
tree.124,LC,0.3879136723738304,0.3378681040709659
tree.124,NT,1.1599726304555449,1.1516483735362362
tree.124,VU,2.3310578761061604,1.4369851655782133
tree.124,EN,4.1641110845956675,2.818079645626087
tree.124,CR,8.167164218860757,2.214150185261949
tree.125,LC,0.34036209429039016,0.4514758817334683
tree.125,NT,1.1448775115722662,1.0197785555731806
tree.125,VU,2.209564701363297,1.6700983267108716
tree.125,EN,4.21046190613449,3.4386705338881027
tree.125,CR,10.111912404065276,3.584803129886497
tree.126,LC,0.39722657605205786,0.3883568565538113
tree.126,NT,1.6818610890335057,1.3080002440423049
tree.126,VU,3.3373583304567704,2.40521734867442
tree.126,EN,5.643683260007891,3.6692427508175296
tree.126,CR,11.684243767911976,3.417882998672343
tree.127,LC,0.3659951427156096,0.34298030148227787
tree.127,NT,1.3206779274455371,1.0045383024704462
tree.127,VU,2.5404289811157135,1.6894826518137271
tree.127,EN,4.8078550802007465,2.972567669379209
tree.127,CR,10.74682605171583,2.5511426704766134
tree.128,LC,0.2482009082898725,0.32804810822402375
tree.128,NT,0.7120959917973289,1.010336587509316
tree.128,VU,1.5624957111059843,1.3211562958919432
tree.128,EN,2.657171897232919,2.9607444268541454
tree.128,CR,7.458597936267268,3.490596185323995
tree.129,LC,0.2792530524062753,0.2525166154338222
tree.129,NT,1.297598300374606,1.6018631805508972
tree.129,VU,2.627801621994118,1.8682526179139145
tree.129,EN,4.29131651148267,3.3343329672911652
tree.129,CR,10.802537211219775,3.7681730266919944
tree.13,LC,0.3422948402272296,0.5695193817940917
tree.13,NT,1.2309295909535658,1.2563642823098247
tree.13,VU,2.390312251393625,1.9041209436557844
tree.13,EN,4.314606216235516,3.278578188025685
tree.13,CR,9.011273073896682,4.674260519646068
tree.130,LC,0.6079525957980665,0.7478050172343534
tree.130,NT,2.142934848359496,2.2113577010494256
tree.130,VU,4.057643912574465,2.296330779615671
tree.130,EN,7.51142210499738,3.832456745245662
tree.130,CR,15.400203420269332,1.2707356349552354
tree.131,LC,0.5747457930970725,0.7491595223707951
tree.131,NT,1.8743746771557301,1.5824905623774532
tree.131,VU,3.776575656475946,2.8785652812848457
tree.131,EN,6.119212637406717,2.752970297138012
tree.131,CR,12.767704475503947,2.9286720710318837
tree.132,LC,0.30239308148655075,0.37705388555252145
tree.132,NT,1.1360278360034932,1.605954922778169
tree.132,VU,2.0576910232823313,1.9881773760424057
tree.132,EN,3.521043295071662,3.652271344506152
tree.132,CR,8.89414036954017,3.612222929290834
tree.133,LC,0.25738436187123576,0.2556105583168889
tree.133,NT,0.9046781137721986,1.540372436244051
tree.133,VU,1.7591934594558314,1.9669348023530602
tree.133,EN,3.1380587977975267,2.4518276115316104
tree.133,CR,7.643114461828054,3.610526648958706
tree.134,LC,0.47136176652653017,0.4719118217699592
tree.134,NT,1.7831737333196838,1.4119359479889444
tree.134,VU,3.1539534978478967,2.036716313119902
tree.134,EN,6.2055298382198885,3.9740419043981023
tree.134,CR,13.006682211018857,4.95447372510511
tree.135,LC,0.3852214809106568,0.585913585874179
tree.135,NT,1.4664170684399918,1.2555940162080086
tree.135,VU,2.8588536941839986,2.066826987022606
tree.135,EN,4.762143323464654,3.0215307127064497
tree.135,CR,10.685892712235246,3.2198044792854392
tree.136,LC,0.36557305736060514,0.2906556998886726
tree.136,NT,1.1091414590308633,1.3376199034136635
tree.136,VU,2.2618240716810845,1.7162789654954715
tree.136,EN,3.9182582327374424,3.0151837957506618
tree.136,CR,9.48965175636738,4.421679212500347
tree.137,LC,0.39615741297687135,0.37843674956364765
tree.137,NT,1.168539100060607,1.072602404727961
tree.137,VU,2.0509761415751018,1.695511472147358
tree.137,EN,3.7230622626641403,2.575143434741123
tree.137,CR,8.237888735081434,2.6482157330145024
tree.138,LC,0.2883490486172018,0.2608646297516343
tree.138,NT,1.064573117526515,1.4622935590786204
tree.138,VU,1.9706573035857915,1.6417904947612794
tree.138,EN,3.6124345393593473,2.161953328656376
tree.138,CR,8.509369653502649,3.1969951393840352
tree.139,LC,0.49120244463732216,0.45308283836900476
tree.139,NT,1.651771646200619,1.5646086601954943
tree.139,VU,3.244899749424789,2.412002645635683
tree.139,EN,5.396961426634863,3.217837400559186
tree.139,CR,10.19676497019255,4.786067546276239
tree.14,LC,0.367604937304489,0.7172769703781113
tree.14,NT,1.1445524045289217,1.6456080479580413
tree.14,VU,2.399798145032796,2.482316420681397
tree.14,EN,4.789256092547279,2.0760346550040953
tree.14,CR,8.787903022178815,5.651031534292953
tree.140,LC,0.4202072264878764,0.6679117393136443
tree.140,NT,1.5649953312159308,1.3799487798649301
tree.140,VU,3.170555661843139,3.245788851179365
tree.140,EN,5.7855102069593425,3.046173022964275
tree.140,CR,10.88731620885827,2.8786338204770927
tree.141,LC,0.29037171789825544,0.2815860403957049
tree.141,NT,1.036975805835122,1.0789851444952356
tree.141,VU,2.042597822425016,2.1245404406239503
tree.141,EN,3.9630963425797177,2.860519647454478
tree.141,CR,8.027015186428756,2.9629985877596106
tree.142,LC,0.3671649872299059,0.7257338066278965
tree.142,NT,1.343190595911727,1.3680967331761251
tree.142,VU,2.4960969149907277,2.670737019952497
tree.142,EN,4.467099383845267,3.2662341729266116
tree.142,CR,8.708028386819668,5.106735725168181
tree.143,LC,0.4353227875830876,0.3955995846233879
tree.143,NT,1.263130866901236,1.4188511513249529
tree.143,VU,2.357078363950519,1.2367148795187166
tree.143,EN,4.1616040181715475,3.1559877045562468
tree.143,CR,7.511672325799049,3.1803415105752046
tree.144,LC,0.3519997458168229,0.32916669236433765
tree.144,NT,1.083341293044428,1.0132115209649268
tree.144,VU,2.1579170062498836,1.6822952316880788
tree.144,EN,3.823559898541172,2.854191905343434
tree.144,CR,8.254692797967277,3.2908165197485597
tree.145,LC,0.23165819947681854,0.43178494906187115
tree.145,NT,0.7937126804831524,0.7878781534041552
tree.145,VU,1.4331950218375609,1.2028562029358878
tree.145,EN,2.7289377614120003,1.8723831000828357
tree.145,CR,6.273970755725139,3.2371042660704434
tree.146,LC,0.6631475339959307,0.642848993778958
tree.146,NT,1.9139263692575699,1.7501584471045641
tree.146,VU,3.914758002737305,2.8934819896581083
tree.146,EN,6.858896968942012,4.222646399231581
tree.146,CR,11.440568475076532,4.228344862796674
tree.147,LC,0.38323737283269965,0.3781376918225282
tree.147,NT,1.2278142888449444,1.4056451120509823
tree.147,VU,2.420329624257156,1.878840637724627
tree.147,EN,4.663047207951423,2.900576213792592
tree.147,CR,9.319752837349697,4.968358892700195
tree.148,LC,0.27353303047992145,0.2952071296754511
tree.148,NT,1.2238435138108033,1.3019113922433623
tree.148,VU,2.486446988249257,1.6172819745656548
tree.148,EN,4.279970700396299,1.9830392204425784
tree.148,CR,9.054569813033435,2.4592340153293715
tree.149,LC,0.34010091057155234,0.3666457092256682
tree.149,NT,1.3315356808019945,1.671314033511847
tree.149,VU,2.6341882400648347,2.0363043824153118
tree.149,EN,5.01031794679291,3.342078749111447
tree.149,CR,8.858271131001977,4.515398283735399
tree.15,LC,0.22305262019353944,0.33665099429288564
tree.15,NT,1.0035592078311804,0.9822631407817886
tree.15,VU,1.8501719692851781,1.6914254349325732
tree.15,EN,3.4533692810578653,2.1274991017390463
tree.15,CR,7.303814873154705,3.1844229208276467
tree.150,LC,0.32433308677092665,0.3175338807892686
tree.150,NT,1.2039906147059756,1.5583225644066716
tree.150,VU,2.39840020100896,1.8642921177506164
tree.150,EN,3.8789234916175785,3.178962372196145
tree.150,CR,8.873572866921128,5.023130705539825
tree.151,LC,0.42521053211152265,0.5691802970622805
tree.151,NT,1.46528470853845,1.4505702126875992
tree.151,VU,2.93314664011236,2.2515694219330844
tree.151,EN,5.4176343065816726,3.1398685451714585
tree.151,CR,11.684654200016787,3.0111778235005113
tree.152,LC,0.2461736835256299,0.24617368352562588
tree.152,NT,0.9007755241422815,1.302538237215817
tree.152,VU,1.5884888332830829,1.930480608809296
tree.152,EN,2.873967813029312,2.2061202175596195
tree.152,CR,6.8950760686574375,3.181402212530573
tree.153,LC,0.27069927677021705,0.27060876200067757
tree.153,NT,0.8911860208639845,0.8309267655753896
tree.153,VU,1.9918370119846904,1.3537300205716536
tree.153,EN,3.4926918270369196,2.8539364464827823
tree.153,CR,8.142315335297923,2.927433002017026
tree.154,LC,0.36161752755253945,0.2921963527479829
tree.154,NT,1.162866263785393,1.0789539632779666
tree.154,VU,2.3407091016181716,1.8056905758109532
tree.154,EN,3.840171589805222,2.7401532064840715
tree.154,CR,8.396960733693247,2.6189829794535173
tree.155,LC,0.3617591405818015,0.3732633616437944
tree.155,NT,1.0382177083368662,1.2647709928589383
tree.155,VU,2.07098630025785,1.5121225818428978
tree.155,EN,3.4148585168952885,1.7452476628418325
tree.155,CR,9.114624355777067,3.34294316807822
tree.156,LC,0.36927414966057165,0.4537547716341322
tree.156,NT,1.4736277566398044,1.8548128431340676
tree.156,VU,2.98513343159232,2.1000582410595907
tree.156,EN,4.673151437414977,3.2673011674848973
tree.156,CR,11.515638342275734,3.669769486882706
tree.157,LC,0.4053061465111328,0.3707196259897333
tree.157,NT,1.66682901096408,1.6959871916358256
tree.157,VU,3.1809629281636025,2.317969169073817
tree.157,EN,5.356048225164594,2.714840704852679
tree.157,CR,11.00368606069957,3.1395220971355955
tree.158,LC,0.35486973930577825,0.3472537448523659
tree.158,NT,0.9470590784052045,0.6933760868925041
tree.158,VU,1.9545515767917572,1.8133627932400342
tree.158,EN,3.3601374906208874,2.266493347540669
tree.158,CR,8.386318003607668,3.4054929619116647
tree.159,LC,0.48705200230557694,0.44394432512104354
tree.159,NT,1.7057411800259326,1.3682639123851428
tree.159,VU,3.342045644220989,1.87894401091321
tree.159,EN,6.057579359070626,4.2903209047444895
tree.159,CR,10.162836682879668,1.9328370463708604
tree.16,LC,0.26721889073553684,0.26721889073553273
tree.16,NT,0.6842736259551109,0.6094575755408735
tree.16,VU,1.3906311075800786,1.6987093313503616
tree.16,EN,2.3107533580960515,1.7633701026345505
tree.16,CR,6.127773803123931,3.071022473452418
tree.160,LC,0.6032631332803481,0.6492977537756575
tree.160,NT,1.9775177840749212,1.6345017398802437
tree.160,VU,3.9780496913248924,3.081701136773904
tree.160,EN,6.850487881399217,3.2058132431346995
tree.160,CR,14.268960780224877,4.403665110438993
tree.161,LC,0.5053257540668804,0.39309063659621796
tree.161,NT,1.6848090710199146,1.4984395147144252
tree.161,VU,3.1911411930289346,2.5441745164755227
tree.161,EN,5.818415351510638,3.311123423799125
tree.161,CR,10.974799520528125,3.2200508222045205
tree.162,LC,0.2188835538381613,0.21888355383815772
tree.162,NT,0.8355863474020438,0.7441669851757684
tree.162,VU,1.6035713845553916,1.1846530258167725
tree.162,EN,3.013747507401123,2.5881953638541537
tree.162,CR,6.50554401359858,3.5300802812761303
tree.163,LC,0.7279743089400804,0.7655467855691223
tree.163,NT,2.1547523608291406,2.031386909033856
tree.163,VU,4.075484599988483,1.9885500909495943
tree.163,EN,7.239106427645866,4.837929084308873
tree.163,CR,18.367075369040695,0.9269127336586883
tree.164,LC,0.3764076578688129,0.4140423071172678
tree.164,NT,0.9439572195482876,0.9918397440560166
tree.164,VU,2.0417574496834283,2.042039078678681
tree.164,EN,3.5309829386183624,2.0687689654255497
tree.164,CR,7.953518579151358,3.745536558119172
tree.165,LC,0.36167230047061383,0.5034629571279191
tree.165,NT,1.1166112892856392,0.9675621745207875
tree.165,VU,2.263126715707312,1.9184499595772646
tree.165,EN,4.184102379696518,2.4741457571438237
tree.165,CR,9.026280921218905,2.561419536183467
tree.166,LC,0.31555920869028925,0.4051939725728603
tree.166,NT,0.9499707696151288,1.0036715353288463
tree.166,VU,2.0538832128789513,1.7008014879403441
tree.166,EN,3.4670570756142967,2.780748087413908
tree.166,CR,9.298363579746436,3.1461575298386406
tree.167,LC,0.4165132163932579,0.4086258284217815
tree.167,NT,1.387070384750769,1.558454699773646
tree.167,VU,2.9589937300634066,2.7456708273434374
tree.167,EN,5.218305709925296,3.0352933901674986
tree.167,CR,10.992329008541255,2.9085022226603856
tree.168,LC,0.37260314023272184,0.41286707112750737
tree.168,NT,0.9673019813320357,1.1056946594311077
tree.168,VU,1.9634403167594034,1.4791351140739981
tree.168,EN,3.2997475459515435,2.909692952462712
tree.168,CR,7.87764947493624,2.8281162042456716
tree.169,LC,0.3202200767653934,0.4205615653525914
tree.169,NT,1.3052338733285904,1.0291411773860626
tree.169,VU,2.4226366215792,2.296082026178889
tree.169,EN,4.1633503371341005,3.533162621914043
tree.169,CR,8.89689776117683,3.8360275795008003
tree.17,LC,0.23999861392568106,0.5042052787375941
tree.17,NT,0.8210537176473107,0.7164981666631387
tree.17,VU,1.6892265257294914,1.52794345625576
tree.17,EN,2.946835605282828,1.8580587632465098
tree.17,CR,7.993112842219873,2.26064230578167
tree.170,LC,0.3547062528936747,0.30740067871818577
tree.170,NT,1.3065534914971022,1.2085745879735943
tree.170,VU,2.5341854981403875,2.159431388024958
tree.170,EN,4.9615765929246916,3.5231771305872543
tree.170,CR,8.506899572264205,3.5660721587311603
tree.171,LC,0.3112273765294951,0.5006429374344797
tree.171,NT,1.2544026095399345,1.32682104690003
tree.171,VU,2.356475563714811,2.191371542986384
tree.171,EN,4.393830870898001,2.3760786204111604
tree.171,CR,8.350261941936154,4.4677176202738
tree.172,LC,0.35155114227604045,0.29542727500593463
tree.172,NT,1.1230991889786504,0.9146720785022564
tree.172,VU,2.1869893221274284,1.7334973132182026
tree.172,EN,3.8664290304428093,2.5243561214239487
tree.172,CR,9.49437428202807,4.480126303598322
tree.173,LC,0.3329435708034871,0.3329435708034836
tree.173,NT,0.831533304608252,0.8025535281886393
tree.173,VU,1.5876985764444207,1.3600512364308084
tree.173,EN,2.9441844450633754,1.8918631488489823
tree.173,CR,6.544609243553863,2.9362868301582745
tree.174,LC,0.32430964133995077,0.7935174068220718
tree.174,NT,1.1017869416266837,1.0211956778211795
tree.174,VU,2.1906257427043148,1.884407301604469
tree.174,EN,3.889855414967185,2.5696166155660602
tree.174,CR,7.60987798433402,3.3262428303884013
tree.175,LC,0.39362607076613276,0.9387074229104863
tree.175,NT,1.4478759268816632,1.2011360161702527
tree.175,VU,2.7544673218915268,2.079195361023932
tree.175,EN,5.3855786078794825,2.6195763577730253
tree.175,CR,9.267383487908862,2.5567765375441227
tree.176,LC,0.24912793188082608,0.23079391143674682
tree.176,NT,0.7836426482430285,0.8573401612439843
tree.176,VU,1.5452718752442456,1.8938620203297247
tree.176,EN,2.555200234056691,1.468993078895479
tree.176,CR,6.128276275135067,3.264018370911354
tree.177,LC,0.3573965023345343,0.36636201391648876
tree.177,NT,1.2484725513157076,1.0491547967724142
tree.177,VU,2.631412186379334,2.8162128463522187
tree.177,EN,4.809661139370623,2.91512119636596
tree.177,CR,9.051106411992624,3.416568554782323
tree.178,LC,0.30251427534113257,0.28185463246593534
tree.178,NT,1.1398311170882516,1.0492626675894674
tree.178,VU,2.2247417567580765,2.081027280508196
tree.178,EN,3.813246882777536,2.7335919162164686
tree.178,CR,8.457260204481566,3.650672017526298
tree.179,LC,0.23693190569885814,0.23596234964101892
tree.179,NT,0.9015929418560817,0.7445737010938418
tree.179,VU,1.7251478756143475,1.5847326631228906
tree.179,EN,3.1504188310854873,2.841361206844413
tree.179,CR,8.440332727557934,3.601845760421396
tree.18,LC,0.5471873968586941,0.514196446237139
tree.18,NT,1.3790015776109181,1.462051663084689
tree.18,VU,2.818766371144597,3.11477204559372
tree.18,EN,4.9590261737683425,3.177999331083136
tree.18,CR,10.613789683159599,3.797288029030526
tree.180,LC,0.2687019557463474,0.24994923360048832
tree.180,NT,0.8187564986627961,1.0105551885396415
tree.180,VU,1.8335718444193594,1.4317824002217436
tree.180,EN,2.8986550828954223,2.170121915345491
tree.180,CR,8.479866848464535,3.1921703613211085
tree.181,LC,0.42494364694513215,0.3848025562195074
tree.181,NT,1.2718155311571713,1.1872217292524532
tree.181,VU,2.7182191495158343,2.6463403385825996
tree.181,EN,4.729011218938419,3.212360776971924
tree.181,CR,9.729182100768616,3.193554670376659
tree.182,LC,0.30799139664790576,0.2759744365825828
tree.182,NT,1.113375216011593,1.42690917155673
tree.182,VU,2.2337669313850865,1.438459898850794
tree.182,EN,3.9702820503824126,3.538311316653326
tree.182,CR,10.27345905031677,3.079897233251983
tree.183,LC,0.33659557782946115,0.33659557782945815
tree.183,NT,1.2840532494485635,1.2730538517598866
tree.183,VU,2.2955118019575913,2.100937544878842
tree.183,EN,4.33857906612459,2.32514964827903
tree.183,CR,8.95164332203139,3.0447733260957266
tree.184,LC,0.26427234427832075,0.6087762830388188
tree.184,NT,0.9842899012808519,0.6804584411288488
tree.184,VU,1.8694020436741456,1.9317294602941224
tree.184,EN,3.353365768722693,2.8007942457854034
tree.184,CR,7.805872121225697,4.122334567700713
tree.185,LC,0.28504707586055417,0.2850470758605504
tree.185,NT,0.8430912531362659,0.7924824267870157
tree.185,VU,1.7184412514429914,1.6929328186162031
tree.185,EN,3.1195354816923015,2.6475748512370103
tree.185,CR,7.218379957547812,2.8535162260107834
tree.186,LC,0.6494706067177438,0.857505150158327
tree.186,NT,1.8128246840885682,1.766098299533355
tree.186,VU,3.717366477018415,3.371891572358829
tree.186,EN,6.294586990059373,2.3129901663674803
tree.186,CR,11.23910363933618,3.813533988832531
tree.187,LC,0.4449994529303063,0.4036029619162435
tree.187,NT,1.6900923485256436,1.8845652947571045
tree.187,VU,3.488902706943244,2.256259012631997
tree.187,EN,5.751494254417284,2.665752659633596
tree.187,CR,9.959925940666352,4.689153282227898
tree.188,LC,0.3059366421544634,0.2655453670786352
tree.188,NT,1.1174054528746888,1.042943990141587
tree.188,VU,2.1932493364025953,2.438424127651046
tree.188,EN,3.9163316082273547,2.79226686962693
tree.188,CR,9.474258195333427,4.684203816318318
tree.189,LC,0.31047024781733285,0.3947869948832137
tree.189,NT,0.9586348731242674,1.2511025283946504
tree.189,VU,1.8287585754033369,1.152774800645979
tree.189,EN,3.4896641575257643,2.457242163026737
tree.189,CR,8.738130258283784,4.132542955903958
tree.19,LC,0.4574231716997936,0.55719383517141
tree.19,NT,1.3636181258005453,1.1448432366972858
tree.19,VU,2.596390326883067,2.4166569643272617
tree.19,EN,4.290249597820334,3.5103896700457082
tree.19,CR,7.770542060407478,4.304806217934728
tree.190,LC,0.5229974434547762,0.8065687648440134
tree.190,NT,1.5197390305214595,1.5836225814124438
tree.190,VU,2.919645997226031,2.277859792810634
tree.190,EN,5.130841344288528,3.5717880281040144
tree.190,CR,9.509402820707654,4.369623194952435
tree.191,LC,0.203665639441004,0.5701067493410612
tree.191,NT,0.6727342003848301,0.5568327744254068
tree.191,VU,1.3066132170792095,1.772741552152076
tree.191,EN,2.490188699983683,2.1667873346970983
tree.191,CR,6.480115702014327,4.153521430284668
tree.192,LC,0.3340264932818391,0.807950534348162
tree.192,NT,0.9546692653679811,0.9040714404502836
tree.192,VU,2.0610914711939947,2.10464104978504
tree.192,EN,3.8332297417621746,2.7452051938188835
tree.192,CR,7.742681528306596,3.194241500736769
tree.193,LC,0.2839811634362116,0.33793100067435566
tree.193,NT,1.0147726039871814,1.354597832423819
tree.193,VU,2.0309175887606625,1.5137914146136997
tree.193,EN,3.4025887923771236,2.425253920118247
tree.193,CR,7.49975249389237,3.247696744107493
tree.194,LC,0.3384198461199174,0.2924301230272275
tree.194,NT,0.9506459259556026,0.9373646387129264
tree.194,VU,2.1034554580722613,2.4324681220885114
tree.194,EN,3.6644192841544765,2.3362860809947965
tree.194,CR,9.507642186508892,3.7326079767553164
tree.195,LC,0.3541044732677362,0.33345399816878707
tree.195,NT,1.1290853486747392,0.9496229610146119
tree.195,VU,2.147420746840931,1.4889465761323675
tree.195,EN,4.083945518825456,2.067965348570298
tree.195,CR,7.826322654235722,4.422786474507716
tree.196,LC,0.35060965042099673,0.3452163341557161
tree.196,NT,1.1440531817787756,1.0881641073442965
tree.196,VU,2.4499082338243547,2.2357453926756783
tree.196,EN,3.785058481812423,3.241511871525209
tree.196,CR,8.8045763659773,3.473980019310059
tree.197,LC,0.2217525549205299,0.7916580416669612
tree.197,NT,1.046248503029685,1.1977291893360817
tree.197,VU,1.8427089103705765,2.0878016633193743
tree.197,EN,3.237767062703468,2.2637463669488858
tree.197,CR,8.904941627786302,3.70170766775201
tree.198,LC,0.20210161634176416,0.19953214510469153
tree.198,NT,0.7139318885545755,0.6489116441495414
tree.198,VU,1.441898121126225,0.9315386199797968
