tree,status,mean.true,mean.phy
tree.1,LC,0.3187245240379286,0.3927915229011164
tree.1,NT,1.002476268440505,0.9968526793616822
tree.1,VU,1.7826099731043252,3.2166453993522883
tree.1,EN,3.417084132530868,2.152066783503116
tree.1,CR,8.339780852114107,4.50975351107916
tree.10,LC,0.29627850781554343,0.29122506821211425
tree.10,NT,1.5910166950905995,1.4735364663209425
tree.10,VU,3.139240919520582,2.9815638502171096
tree.10,EN,5.35096045698713,2.7815969819319175
tree.10,CR,10.15434662498349,5.327112532692731
tree.100,LC,0.4414669648780611,0.425338529931162
tree.100,NT,1.6359045202289906,1.009528870481151
tree.100,VU,3.3356889488302666,2.896124954647527
tree.100,EN,5.633113635122861,3.2399365921759524
tree.100,CR,10.798821001126365,3.787090956471713
tree.1000,LC,0.39196147302254153,0.43269103362523115
tree.1000,NT,1.3904730196122579,1.248166914351418
tree.1000,VU,2.546539342809778,1.5435104808458897
tree.1000,EN,4.493297360143467,3.204649255871382
tree.1000,CR,9.060220917516132,4.092603966676837
tree.101,LC,0.2600878821445061,0.22951447002128153
tree.101,NT,0.8503024181202843,0.8656578618797393
tree.101,VU,1.5151723041074205,1.321902437662685
tree.101,EN,2.78508519191431,2.536793675522164
tree.101,CR,5.6730693835628525,2.982225670682301
tree.102,LC,0.34476075177545906,0.3447607517754521
tree.102,NT,1.0337973045399478,1.1737145799394355
tree.102,VU,2.0706262611381856,1.911294077150312
tree.102,EN,3.7223398878002696,2.5454782206036812
tree.102,CR,7.1176331149785765,3.9458441010020233
tree.103,LC,0.40436115312392895,0.3735013928591533
tree.103,NT,1.243127602212821,1.039814173521685
tree.103,VU,2.538626824142073,1.9074471714822978
tree.103,EN,5.0198499687651195,3.638130603602707
tree.103,CR,11.09127667870926,3.406670840747572
tree.104,LC,0.3022822279349414,0.2938729936201464
tree.104,NT,1.216284829404785,1.1300890010491917
tree.104,VU,2.566552320828991,2.0704004387754997
tree.104,EN,4.407843938660727,4.091033375786093
tree.104,CR,8.776939434415326,4.645871079251506
tree.105,LC,0.3559389938070503,0.33890613885471427
tree.105,NT,1.0983084665914533,1.7049915970774596
tree.105,VU,2.191879624700123,2.70927397193977
tree.105,EN,3.589483672080179,2.0500609619305123
tree.105,CR,9.09606042702123,4.268158836637711
tree.106,LC,0.32198322445817557,0.37446571112399935
tree.106,NT,1.0925526674678305,0.9478628046579449
tree.106,VU,2.3517399080902157,1.8535229978158738
tree.106,EN,3.6981275036642582,2.678493364318519
tree.106,CR,7.133289569966495,3.6253434301180305
tree.107,LC,0.3300530845920961,0.3169330117375139
tree.107,NT,1.1569468650069081,1.005569111909308
tree.107,VU,2.52683194122548,2.3341544816074347
tree.107,EN,4.777085490140014,2.7027074269879003
tree.107,CR,8.75561762891866,3.7263348157757368
tree.108,LC,0.159322470326553,0.14536593247366206
tree.108,NT,0.8151713046053255,0.7725595941600244
tree.108,VU,1.6224008582213387,1.3531134775611395
tree.108,EN,3.0098099692658296,2.0363276963068677
tree.108,CR,6.9664600248210995,2.5422691316065626
tree.109,LC,0.42917551671174664,0.4106795678604725
tree.109,NT,1.5886943977213532,1.84105723440729
tree.109,VU,3.131456734068761,2.7049631007242385
tree.109,EN,5.48733169574973,3.0988533827782745
tree.109,CR,12.927524661836276,4.033230700676741
tree.11,LC,0.20315903608009245,0.20064765578312083
tree.11,NT,0.7391295003289505,0.6486997876988579
tree.11,VU,1.4175803164067902,1.5031320235154513
tree.11,EN,2.5435576259165993,1.6550809916249045
tree.11,CR,5.8879810845889065,2.590582266007553
tree.110,LC,0.3770338125404866,0.3750529427755119
tree.110,NT,1.5155512915290836,1.525670484493337
tree.110,VU,2.9158704745056157,1.7852349963981766
tree.110,EN,5.560728369940618,2.32664107363788
tree.110,CR,9.20064276326536,3.6000413672673823
tree.111,LC,0.4717428738906954,0.4521893995495946
tree.111,NT,1.329826308450403,0.9954129313728564
tree.111,VU,2.686627418909095,2.924101216356932
tree.111,EN,4.840885558258946,3.2513453592209354
tree.111,CR,9.52930674213615,3.049640261589064
tree.112,LC,0.2540188909608123,0.24420989637413712
tree.112,NT,1.2629846607632653,1.2493052680089871
tree.112,VU,2.4198019580509254,2.846046687575715
tree.112,EN,4.306736791244724,1.77704827923997
tree.112,CR,8.960750457188114,4.0173928321789445
tree.113,LC,0.4398489415226594,0.712903273068275
tree.113,NT,1.5109317566035125,1.4192563106865728
tree.113,VU,2.992898246744803,2.232183599930717
tree.113,EN,5.192034534893492,3.4724125626917277
tree.113,CR,12.130817881224644,3.0163760295854765
tree.114,LC,0.578000913932003,0.6410553246027957
tree.114,NT,1.5195822016954474,1.8381054671871013
tree.114,VU,2.915149665965506,1.9792253456921733
tree.114,EN,5.5684601225982915,2.783940575787089
tree.114,CR,8.745088073087803,3.370572337056239
tree.115,LC,0.22505996047985147,0.2778247929911699
tree.115,NT,0.9019315867041032,0.8289400802280685
tree.115,VU,1.6193685048789233,1.5687223606164478
tree.115,EN,3.0990985894391647,1.7678830833307206
tree.115,CR,6.705011898760383,3.7411021445818626
tree.116,LC,0.2525735259567487,0.3085796188544482
