tree,status,mean.true,mean.0.50
tree.1,LC,0.2403838845093013,0.3692673071643294
tree.1,NT,1.0405887085681942,2.340938373258344
tree.1,VU,1.6679649302360338,2.5619437433566943
tree.1,EN,3.6016117156628056,1.745817708732739
tree.1,CR,8.76854883800555,1.9712461592243196
tree.10,LC,0.4085947380114142,0.46577306806118796
tree.10,NT,1.605816911359184,2.504995851123348
tree.10,VU,3.1003809196969896,3.4405023000374317
tree.10,EN,5.563306978689908,3.7205961701468664
tree.10,CR,10.811299585691721,0.8790800856145629
tree.100,LC,0.39937756818774495,1.1298651667708188
tree.100,NT,1.6482818163051223,2.7702242396979346
tree.100,VU,3.2003519504091544,3.211068156076474
tree.100,EN,5.336699834412074,2.9236251019687796
tree.100,CR,9.185958617708573,0.3200079272851487
tree.1000,LC,0.3668262980968443,1.5816783212817545
tree.1000,NT,1.1787481139822629,1.0841252689144616
tree.1000,VU,2.413003548185472,1.5482862669889839
tree.1000,EN,4.179132923672037,2.9773283206663113
tree.1000,CR,9.21068956116751,2.31227262782046
tree.101,LC,0.21140195032090772,0.3126402410870661
tree.101,NT,0.7443737236362035,1.0086324017726935
tree.101,VU,1.409776416007707,2.50579036767404
tree.101,EN,2.629460272080341,1.7803361492764649
tree.101,CR,6.52464994833144,2.698718526554458
tree.102,LC,0.24522179027132723,1.0379739112599013
tree.102,NT,1.0074511913933177,1.5200827664293695
tree.102,VU,2.147355586619617,2.425697741884718
tree.102,EN,3.848860647728704,1.2450799895119085
tree.102,CR,8.438622493627765,0.701978872826232
tree.103,LC,0.3642670974157849,0.9785787832275468
tree.103,NT,1.3429444131924706,1.2969624261239405
tree.103,VU,2.5856841114745786,2.5232751639871176
tree.103,EN,4.643043701636797,1.8412309226431713
tree.103,CR,9.48351536811634,1.3252345486165809
tree.104,LC,0.374775255465825,0.662189469838958
tree.104,NT,1.212935462191538,1.8474935877526415
tree.104,VU,2.4315247157874715,2.4129390878068304
tree.104,EN,4.45644167500762,1.381628385420093
tree.104,CR,9.698796013552705,1.4507558479714886
tree.105,LC,0.353876350075049,0.53223956193359645
tree.105,NT,1.0563638207927042,1.883210981590211
tree.105,VU,1.99615720707254,1.7097079177067411
tree.105,EN,4.058162296536721,1.748098631174047
tree.105,CR,8.84742013132008,4.151353408557107
tree.106,LC,0.33824188878011946,0.8315700483814858
tree.106,NT,1.1104598367380392,1.6467041574311785
tree.106,VU,2.0980040928323955,1.5785791645948575
tree.106,EN,3.8191818377299898,1.4785215786629333
tree.106,CR,7.8970833110923495,2.49240650545637
tree.107,LC,0.28842255602215183,0.8432567597595387
tree.107,NT,1.284118923101119,2.437857128801942
tree.107,VU,2.5915157285939174,2.54228209269491
tree.107,EN,4.295985722463512,2.0126156104029893
tree.107,CR,7.993333468831539,3.6641018353859636
tree.108,LC,0.2662165495709948,0.6231408770126264
