tree,status,mean.true,mean.phy
tree.1,LC,0.16588457262288747,0.16588457262288503
tree.1,NT,0.5034743411554166,0.6264627621546666
tree.1,VU,0.9319702249320213,2.195674139745056
tree.1,EN,1.5845949049406285,3.1187505333469074
tree.1,CR,4.214056813460684,4.993792344720678
tree.10,LC,0.19795540323649222,0.23778044700155943
tree.10,NT,0.7799503263729018,0.8683251238135263
tree.10,VU,1.579865603737477,1.8874068029543956
tree.10,EN,2.6896399952051167,4.47470171972517
tree.10,CR,5.576221985009989,6.311710974647207
tree.100,LC,0.2640950542660294,0.2640950542660223
tree.100,NT,0.7455536877235364,1.2872788493703893
tree.100,VU,1.580411842055934,1.5804118420559279
tree.100,EN,3.2125864718214983,3.728482993966837
tree.100,CR,4.80077016102942,5.3089008773652795
tree.1000,LC,0.15182403941477554,0.1518240394147732
tree.1000,NT,0.6483927539199247,0.9105055046443525
tree.1000,VU,1.3517056672889953,2.4067405628609575
tree.1000,EN,2.1196169270858993,2.274656475546247
tree.1000,CR,4.603615320181653,4.878969423503289
tree.101,LC,0.1394692016648115,0.13946920166480697
tree.101,NT,0.3997264252151021,0.3997264252150989
tree.101,VU,0.7887782863339738,0.936288795108508
tree.101,EN,1.253848868067652,1.4542954068005955
tree.101,CR,3.5085409817983035,4.174153883075257
tree.102,LC,0.179730979399957,0.1797309793999509
tree.102,NT,0.5362987983466643,0.5362987983466563
tree.102,VU,1.061665200147663,1.9081931823252598
tree.102,EN,1.8419451835076386,2.654025036017123
tree.102,CR,3.5378935726891765,4.07365018206902
tree.103,LC,0.13429378750856333,0.13429378750855572
tree.103,NT,0.6648812231514992,0.9050382575444523
tree.103,VU,1.3116322995638998,1.741594028829734
tree.103,EN,2.274651728635696,2.599653730922243
tree.103,CR,4.8796463228689495,5.703791995717064
tree.104,LC,0.13010843384330445,0.1301084338432977
tree.104,NT,0.6797453842020887,0.697632606021725
tree.104,VU,1.1794997578778754,1.3085191537701297
tree.104,EN,2.0993866840441995,3.323609826819866
tree.104,CR,4.7534066234219745,6.469737320563748
tree.105,LC,0.131381081623177,0.13138108162316992
tree.105,NT,0.5654949347159055,1.0254073526430072
tree.105,VU,1.0774897671392578,1.951175985722175
tree.105,EN,1.969304146231495,2.5273642752446683
tree.105,CR,4.560381294593123,5.519550726969255
tree.106,LC,0.1863897324520103,0.18638973245200435
tree.106,NT,0.5280234529393837,0.5983203980830543
tree.106,VU,1.0369126399561652,1.0369126399561608
tree.106,EN,1.9748596820920539,2.1582203582523976
tree.106,CR,3.771936795970791,4.5296963176136815
tree.107,LC,0.19172419543398775,0.1917241954339798
tree.107,NT,0.7518757794336186,1.0212642938462944
tree.107,VU,1.289022622224194,1.3352127408486307
tree.107,EN,2.2575157172283205,2.692906097969614
tree.107,CR,5.009352448800225,5.5779019181668374
tree.108,LC,0.10935121127670226,0.1093512112766963
tree.108,NT,0.4969449392437176,0.4969449392437127
tree.108,VU,0.8612220989233972,0.8637673031732369
tree.108,EN,1.556543761592276,1.6479911031429892
tree.108,CR,3.5301525353553167,3.9270423286260785
tree.109,LC,0.17810933757196376,0.17810933757195752
tree.109,NT,0.7636707753996158,0.8333452636726985
tree.109,VU,1.4988076800932848,1.8459976201159158
tree.109,EN,2.7215628339035525,3.94605855341639
tree.109,CR,5.200480326511965,6.955544394726846
tree.11,LC,0.08271664318882646,0.08271664318882431
tree.11,NT,0.37885646580219196,0.37885646580219035
tree.11,VU,0.718910265927228,0.7189102659272261
tree.11,EN,1.1990527509426392,1.5491427163015774
tree.11,CR,2.8235123382062777,2.9121067132411413
tree.110,LC,0.18592978683089184,0.2725589099966871
tree.110,NT,0.7089585613544382,0.7342211218957149
tree.110,VU,1.5388172752493452,2.1331137916772587
tree.110,EN,2.4047722702746803,2.520394436800195
tree.110,CR,5.032087314150401,5.36917377174392
tree.111,LC,0.180690070300906,0.20037075232655913
tree.111,NT,0.632103285607102,0.6499404331865559
tree.111,VU,1.2907957420458946,1.6937066572721515
tree.111,EN,2.326962693544566,3.050289629192995
