tree,status,mean.true,mean.0.25
tree.1,LC,0.14010410434713436,0.14805606707940314
tree.1,NT,0.5116962127024584,0.511696212702456
tree.1,VU,0.9193114642996287,1.162515211794635
tree.1,EN,1.6613690135530035,2.568271468235703
tree.1,CR,3.005017348198499,3.9029138316796828
tree.10,LC,0.1067233789715733,0.10672337897157366
tree.10,NT,0.5722722663788181,0.6261971929964651
tree.10,VU,1.0040294980388909,1.347657124187341
tree.10,EN,1.7917661216189527,1.8188271060366652
tree.10,CR,3.9464877069738624,5.156504526916037
tree.100,LC,0.1940346246030745,0.19403462460307122
tree.100,NT,0.5862130343835197,0.8778364220355506
tree.100,VU,1.3141146982993255,1.314114698299319
tree.100,EN,1.9731479146462634,3.8649055115553113
tree.100,CR,3.913155301792818,4.91146254676224
tree.1000,LC,0.24182674814239366,0.3175939083421623
tree.1000,NT,0.7208299821628377,0.8393118812534063
tree.1000,VU,1.3063654306907473,2.073222810299668
tree.1000,EN,2.448157881224342,3.3176506600006626
tree.1000,CR,4.368139165781008,4.368139165781005
tree.101,LC,0.15896310707088926,0.27383279115696546
tree.101,NT,0.546414506465612,0.565306213651458
tree.101,VU,1.0875255251412637,1.3167020834687795
tree.101,EN,2.091324240137957,3.848229976638791
tree.101,CR,3.3791023250012304,3.8515524774825627
tree.102,LC,0.16697280632455744,0.16697280632455763
tree.102,NT,0.5336655538746865,0.6060554197771184
tree.102,VU,1.0634732516603365,1.5731315958732357
tree.102,EN,2.005483425433859,2.0748361962596826
tree.102,CR,4.416593665397975,5.728441880157095
tree.103,LC,0.32119405989989225,0.32310378721403393
tree.103,NT,0.7384168135266118,0.9758964781677714
tree.103,VU,1.418993924061725,2.376929041708753
tree.103,EN,2.575577425895186,4.780039718561965
tree.103,CR,5.609515538381648,6.151603787821422
tree.104,LC,0.11140306223553523,0.11140306223553163
tree.104,NT,0.5842253892135568,0.6467876361453027
tree.104,VU,1.0597445734600672,1.0597445734600617
tree.104,EN,1.7924537978929485,2.3619942705497
tree.104,CR,3.9711055901088637,4.8535738962293165
tree.105,LC,0.09320635803440741,0.09320635803440709
tree.105,NT,0.3735372711333285,0.373537271133328
tree.105,VU,0.6806874614611771,0.9397357631840063
tree.105,EN,1.1920621892254089,1.6116176146320782
tree.105,CR,3.0453460992154198,3.4436153711727893
tree.106,LC,0.18665413083957375,0.32793409840536203
tree.106,NT,0.5784995162745967,0.8694614300448333
tree.106,VU,1.2674377463560964,1.940059384044053
tree.106,EN,2.214891901625243,3.1807167650457275
tree.106,CR,5.31864239274297,5.454530488033455
tree.107,LC,0.23071323428513305,0.23071323428513027
tree.107,NT,0.643027248705018,1.2749048627359036
tree.107,VU,1.345710337601778,1.3765315291141984
tree.107,EN,2.474451776851374,3.4258517497168546
tree.107,CR,4.319036580764708,6.381279558011678
tree.108,LC,0.18208312802087603,0.23144878781141445
tree.108,NT,0.6180584032153426,0.8023142105351505
tree.108,VU,1.2423790124182241,1.7946570543216622
tree.108,EN,2.09334491037663,2.960140344755007
tree.108,CR,4.617246321732342,4.6172463217323365
tree.109,LC,0.13423093124965374,0.13423093124965424
tree.109,NT,0.6034347323285262,0.6630200384641386
